Antal H lag: 1|Nueroner pr lag 50,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,
0,3.76984127,1.393620316,13.22302848,0.248,,,,,,51.88492063,55.45634921,50.09920635,47.12301587,31.4484127
1000,4.662698413,6.039021369,10.62329507,0.642,,,,,,,,,,
2000,6.25,11.50510994,9.435019453,1.034,,,,,,,,,,
3000,8.333333333,18.28739548,8.679644808,1.428,,,,,,,,,,
4000,9.920634921,25.25549706,8.203286054,1.822,,,,,,,,,,
5000,12.3015873,32.53329204,7.84645797,2.221,,,,,,,,,,
6000,17.55952381,40.35305048,7.586547936,2.618,,,,,,,,,,
7000,19.24603175,46.28367916,7.367196228,3.011,,,,,,,,,,
8000,20.53571429,50.99101889,7.243307307,3.406,,,,,,,,,,
9000,21.72619048,55.09445649,7.155834591,3.797,,,,,,,,,,
10000,22.61904762,58.37720657,7.03878833,4.189,,,,,,,,,,
11000,23.90873016,61.13347786,6.913935705,4.582,,,,,,,,,,
12000,24.70238095,63.34778569,6.823199925,4.975,,,,,,,,,,
13000,25.29761905,65.28336946,6.716860737,5.369,,,,,,,,,,
14000,25.49603175,66.86280582,6.593771142,5.76,,,,,,,,,,
15000,26.38888889,68.05512543,6.497648673,6.153,,,,,,,,,,
16000,26.68650794,69.78940849,6.422388959,6.547,,,,,,,,,,
17000,27.67857143,70.65655002,6.319911566,6.939,,,,,,,,,,
18000,28.57142857,71.58563023,6.236837746,7.331,,,,,,,,,,
19000,29.06746032,72.66955714,6.189752642,7.722,,,,,,,,,,
20000,29.66269841,73.39733664,6.092882921,8.114,,,,,,,,,,
21000,29.96031746,74.03220811,6.012749555,8.514,,,,,,,,,,
22000,30.45634921,74.88386497,5.951188538,8.916,,,,,,,,,,
23000,30.55555556,75.33292041,5.873395384,9.316,,,,,,,,,,
24000,31.0515873,75.95230722,5.806922875,9.707,,,,,,,,,,
25000,31.4484127,76.18457727,5.742203241,10.1,,,,,,,,,,
26000,31.94444444,76.85041809,5.665243858,10.497,,,,,,,,,,
27000,32.63888889,77.31495819,5.605543525,10.893,,,,,,,,,,
28000,32.44047619,77.88789099,5.561126508,11.285,,,,,,,,,,
29000,32.93650794,78.05822236,5.458377929,11.677,,,,,,,,,,
30000,33.82936508,78.46082378,5.398002157,12.069,,,,,,,,,,
31000,33.92857143,78.83245587,5.349729782,12.461,,,,,,,,,,
32000,34.42460317,79.23505729,5.302875065,12.853,,,,,,,,,,
33000,34.62301587,79.57572004,5.25398417,13.245,,,,,,,,,,
34000,35.31746032,79.94735212,5.183553015,13.641,,,,,,,,,,
35000,35.41666667,80.17962217,5.150451678,14.033,,,,,,,,,,
36000,35.81349206,80.4273769,5.107553353,14.426,,,,,,,,,,
37000,36.40873016,80.76803964,5.054663392,14.819,,,,,,,,,,
38000,36.60714286,80.891917,4.99971381,15.214,,,,,,,,,,
39000,37.20238095,81.21709508,4.927576317,15.608,,,,,,,,,,
40000,37.59920635,81.4648498,4.892030695,16.001,,,,,,,,,,
41000,37.99603175,81.75905853,4.855304434,16.392,,,,,,,,,,
42000,38.59126984,82.05326727,4.821816082,16.783,,,,,,,,,,
43000,38.69047619,82.25456798,4.774546171,17.174,,,,,,,,,,
44000,38.78968254,82.39393001,4.71797637,17.568,,,,,,,,,,
45000,38.98809524,82.54877671,4.67682482,17.96,,,,,,,,,,
46000,39.68253968,82.68813874,4.627901636,18.353,,,,,,,,,,
47000,39.98015873,82.93589347,4.5951312,18.744,,,,,,,,,,
48000,40.37698413,83.0752555,4.544705178,19.137,,,,,,,,,,
49000,40.47619048,83.18364819,4.501478939,19.529,,,,,,,,,,
50000,40.47619048,83.3849489,4.479480444,19.92,,,,,,,,,,
51000,41.07142857,83.52431093,4.439018318,20.312,,,,,,,,,,
52000,41.66666667,83.72561164,4.409497221,20.703,,,,,,,,,,
53000,41.96428571,83.75658098,4.372858087,21.095,,,,,,,,,,
54000,41.76587302,83.91142769,4.346349882,21.489,,,,,,,,,,
55000,41.76587302,84.05078972,4.317570907,21.882,,,,,,,,,,
56000,42.36111111,84.17466708,4.274799919,22.274,,,,,,,,,,
57000,42.55952381,84.31402911,4.25494167,22.666,,,,,,,,,,
58000,42.75793651,84.40693713,4.217497733,23.058,,,,,,,,,,
59000,43.1547619,84.45339114,4.177637714,23.451,,,,,,,,,,
60000,43.25396825,84.53081449,4.155072403,23.842,,,,,,,,,,
61000,43.5515873,84.65469186,4.131114639,24.233,,,,,,,,,,
62000,44.04761905,84.82502323,4.090782524,24.627,,,,,,,,,,
63000,43.9484127,84.94890059,4.068366498,25.02,,,,,,,,,,
64000,44.1468254,85.07277795,4.044864714,25.413,,,,,,,,,,
65000,44.24603175,85.16568597,4.014775158,25.805,,,,,,,,,,
66000,44.3452381,85.28956333,3.98623837,26.198,,,,,,,,,,
67000,44.44444444,85.32053267,3.944001766,26.588,,,,,,,,,,
68000,44.64285714,85.33601734,3.905783925,26.981,,,,,,,,,,
69000,45.03968254,85.42892536,3.879620618,27.373,,,,,,,,,,
70000,44.84126984,85.47537937,3.852786618,27.765,,,,,,,,,,
71000,44.94047619,85.52183338,3.819255277,28.158,,,,,,,,,,
72000,45.33730159,85.67668009,3.801301619,28.549,,,,,,,,,,
73000,45.43650794,85.78507278,3.781949481,28.942,,,,,,,,,,
74000,45.53571429,85.83152679,3.747606779,29.335,,,,,,,,,,
75000,45.83333333,85.95540415,3.717877127,29.725,,,,,,,,,,
76000,46.13095238,86.06379684,3.687850131,30.117,,,,,,,,,,
77000,46.03174603,86.09476618,3.664961263,30.511,,,,,,,,,,
78000,46.52777778,86.23412821,3.631831501,30.904,,,,,,,,,,
79000,47.02380952,86.26509755,3.603218672,31.298,,,,,,,,,,
