Antal H lag: 1|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,Lag 1,Lag 2,Lag 3,Lag 4,Lag 5
0,1.28968254,1.223288944,14.99813096,0.248,,,,,,,44.84126984,51.19047619,55.55555556,53.67063492,25.1984127
1000,3.174603175,4.955094456,12.28304373,0.643,,,,,,,,,,,
2000,6.150793651,14.1220192,10.90062264,1.038,,,,,,,,,,,
3000,9.523809524,23.25797461,10.0764786,1.431,,,,,,,,,,,
4000,11.80555556,33.24558687,9.581493335,1.826,,,,,,,,,,,
5000,13.49206349,41.40600805,9.214162384,2.223,,,,,,,,,,,
6000,16.46825397,49.44255187,8.97528888,2.618,,,,,,,,,,,
7000,18.3531746,56.10096005,8.769084034,3.014,,,,,,,,,,,
8000,19.64285714,59.98761226,8.587934747,3.408,,,,,,,,,,,
9000,20.83333333,63.28584701,8.372808538,3.803,,,,,,,,,,,
10000,21.92460317,65.60854754,8.227430241,4.2,,,,,,,,,,,
11000,22.51984127,68.0706101,8.100121406,4.594,,,,,,,,,,,
12000,23.80952381,70.00619387,7.96855106,4.988,,,,,,,,,,,
13000,24.30555556,71.24496748,7.831572991,5.382,,,,,,,,,,,
14000,24.8015873,72.56116445,7.696745402,5.776,,,,,,,,,,,
15000,24.90079365,73.41282131,7.601570086,6.17,,,,,,,,,,,
16000,25.5952381,74.66707959,7.467949027,6.569,,,,,,,,,,,
17000,25.99206349,75.42582843,7.313519829,6.963,,,,,,,,,,,
18000,26.19047619,75.98327656,7.203606076,7.36,,,,,,,,,,,
19000,26.68650794,76.72654072,7.112418168,7.753,,,,,,,,,,,
20000,27.08333333,77.33044286,7.027030165,8.147,,,,,,,,,,,
21000,27.08333333,77.934345,6.922256032,8.543,,,,,,,,,,,
22000,27.28174603,78.10467637,6.822711852,8.937,,,,,,,,,,,
23000,27.48015873,78.42985444,6.707359111,9.331,,,,,,,,,,,
24000,27.38095238,78.78600186,6.61772533,9.727,,,,,,,,,,,
25000,27.97619048,79.11117993,6.525233441,10.121,,,,,,,,,,,
26000,28.07539683,79.29699597,6.425956702,10.516,,,,,,,,,,,
27000,28.27380952,79.5447507,6.322498207,10.911,,,,,,,,,,,
28000,28.47222222,79.88541344,6.250846965,11.305,,,,,,,,,,,
29000,28.86904762,80.11768349,6.172452863,11.698,,,,,,,,,,,
30000,28.86904762,80.36543822,6.100281172,12.092,,,,,,,,,,,
31000,29.26587302,80.59770827,6.025272885,12.49,,,,,,,,,,,
32000,29.16666667,80.84546299,5.973315557,12.884,,,,,,,,,,,
33000,29.66269841,81.37194178,5.924329297,13.278,,,,,,,,,,,
34000,29.76190476,81.57324249,5.84201543,13.672,,,,,,,,,,,
35000,30.05952381,81.68163518,5.780633556,14.065,,,,,,,,,,,
36000,30.05952381,81.83648188,5.729284656,14.459,,,,,,,,,,,
37000,30.35714286,81.96035924,5.65605673,14.862,,,,,,,,,,,
38000,30.6547619,82.09972128,5.585662305,15.255,,,,,,,,,,,
39000,30.8531746,82.13069062,5.5209841,15.649,,,,,,,,,,,
40000,30.95238095,82.28553732,5.446334404,16.042,,,,,,,,,,,
41000,31.0515873,82.42489935,5.399090369,16.435,,,,,,,,,,,
42000,31.54761905,82.56426138,5.331122563,16.829,,,,,,,,,,,
43000,31.8452381,82.68813874,5.275559065,17.223,,,,,,,,,,,
44000,31.94444444,82.79653143,5.195660784,17.618,,,,,,,,,,,
45000,32.14285714,82.84298544,5.11906301,18.012,,,,,,,,,,,
46000,32.24206349,83.01331682,5.07474446,18.405,,,,,,,,,,,
47000,32.14285714,83.04428616,5.049885831,18.8,,,,,,,,,,,
48000,32.44047619,83.26107154,5.006461685,19.193,,,,,,,,,,,
49000,32.83730159,83.26107154,4.934786967,19.586,,,,,,,,,,,
50000,33.33333333,83.32301022,4.855673426,19.98,,,,,,,,,,,
51000,33.33333333,83.43140291,4.804338208,20.374,,,,,,,,,,,
52000,33.13492063,83.52431093,4.770093648,20.768,,,,,,,,,,,
53000,33.03571429,83.57076494,4.729618858,21.162,,,,,,,,,,,
