Antal H lag: 1|Nueroner pr lag 50,,,,,,,,,,,Lag 1,Lag 2,Lag 3,Lag 4,Lag 5
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,48.41269841,52.57936508,55.45634921,50.1984127,24.4047619
0,3.075396825,6.658408176,15.02524413,0.248,,,,,,,,,,,
1000,4.861111111,7.943635801,11.43124555,0.649,,,,,,,,,,,
2000,7.738095238,16.27438836,10.13544658,1.046,,,,,,,,,,,
3000,9.027777778,22.96376587,9.506089238,1.447,,,,,,,,,,,
4000,11.01190476,30.52028492,9.118871266,1.853,,,,,,,,,,,
5000,14.08730159,38.9903995,8.868527723,2.255,,,,,,,,,,,
6000,16.17063492,45.60235367,8.636482977,2.656,,,,,,,,,,,
7000,17.65873016,51.79622174,8.480761256,3.061,,,,,,,,,,,
8000,18.75,55.26478786,8.290448175,3.456,,,,,,,,,,,
9000,19.74206349,59.08950139,8.140077731,3.862,,,,,,,,,,,
10000,20.93253968,61.8922267,8.003210322,4.265,,,,,,,,,,,
11000,21.13095238,64.5401053,7.883118298,4.663,,,,,,,,,,,
12000,22.22222222,66.38278105,7.753424463,5.068,,,,,,,,,,,
13000,22.61904762,68.13254878,7.645758839,5.467,,,,,,,,,,,
14000,23.21428571,69.52616909,7.52995006,5.865,,,,,,,,,,,
15000,24.00793651,70.65655002,7.400037576,6.271,,,,,,,,,,,
16000,24.6031746,72.00371632,7.292607297,6.669,,,,,,,,,,,
17000,24.6031746,72.90182719,7.189597487,7.069,,,,,,,,,,,
18000,25.3968254,73.3663673,7.057613319,7.468,,,,,,,,,,,
19000,25.49603175,74.17157015,6.983919698,7.866,,,,,,,,,,,
20000,25.79365079,74.94580365,6.864411734,8.267,,,,,,,,,,,
21000,26.28968254,75.54970579,6.7744078,8.666,,,,,,,,,,,
22000,26.19047619,75.93682255,6.701725495,9.068,,,,,,,,,,,
23000,26.58730159,76.72654072,6.604328287,9.467,,,,,,,,,,,
24000,26.88492063,77.14462682,6.511210198,9.867,,,,,,,,,,,
25000,27.08333333,77.73304429,6.403864359,10.269,,,,,,,,,,,
26000,27.57936508,78.01176835,6.312212376,10.668,,,,,,,,,,,
27000,27.97619048,78.46082378,6.231944,11.069,,,,,,,,,,,
28000,28.07539683,78.63115516,6.142488224,11.471,,,,,,,,,,,
29000,28.27380952,78.78600186,6.037555507,11.873,,,,,,,,,,,
30000,28.57142857,79.20408795,5.966959495,12.279,,,,,,,,,,,
31000,28.47222222,79.29699597,5.896638485,12.679,,,,,,,,,,,
32000,29.16666667,79.65314339,5.831360958,13.088,,,,,,,,,,,
33000,29.66269841,79.83895943,5.744707685,13.49,,,,,,,,,,,
34000,29.76190476,80.05574481,5.66879522,13.889,,,,,,,,,,,
35000,29.96031746,80.24156085,5.592856714,14.291,,,,,,,,,,,
36000,29.96031746,80.41189223,5.540108889,14.691,,,,,,,,,,,
37000,30.55555556,80.70610096,5.472044188,15.087,,,,,,,,,,,
38000,31.25,80.93837101,5.40958932,15.487,,,,,,,,,,,
39000,31.54761905,81.03127903,5.346447176,15.888,,,,,,,,,,,
40000,31.15079365,81.12418705,5.246954137,16.29,,,,,,,,,,,
41000,31.4484127,81.44936513,5.176135167,16.692,,,,,,,,,,,
42000,31.8452381,81.4648498,5.110592797,17.099,,,,,,,,,,,
43000,32.34126984,81.60421183,5.033261293,17.5,,,,,,,,,,,
44000,32.24206349,81.74357386,4.981135007,17.9,,,,,,,,,,,
45000,32.34126984,81.9293899,4.912371439,18.301,,,,,,,,,,,
46000,32.53968254,81.97584391,4.866905667,18.704,,,,,,,,,,,
47000,32.93650794,82.13069062,4.795079068,19.105,,,,,,,,,,,
48000,32.93650794,82.36296067,4.774348815,19.505,,,,,,,,,,,
49000,33.23412698,82.45586869,4.717692004,19.91,,,,,,,,,,,
50000,33.92857143,82.57974605,4.649114938,20.311,,,,,,,,,,,
51000,34.12698413,82.71910808,4.604674315,20.709,,,,,,,,,,,
52000,34.92063492,82.9204088,4.541995463,21.111,,,,,,,,,,,
53000,35.11904762,83.13719418,4.5012779,21.51,,,,,,,,,,,
54000,35.31746032,83.26107154,4.440912755,21.911,,,,,,,,,,,
55000,35.81349206,83.29204088,4.382544237,22.312,,,,,,,,,,,
56000,36.70634921,83.40043357,4.317814434,22.715,,,,,,,,,,,
57000,36.80555556,83.63270362,4.278697277,23.118,,,,,,,,,,,
58000,37.40079365,83.6946423,4.22513028,23.519,,,,,,,,,,,
59000,37.5,83.97336637,4.194185141,23.921,,,,,,,,,,,
60000,37.8968254,84.09724373,4.171684158,24.321,,,,,,,,,,,
61000,37.8968254,84.1127284,4.142988253,24.719,,,,,,,,,,,
62000,37.8968254,84.12821307,4.092097527,25.12,,,,,,,,,,,
63000,38.78968254,84.34499845,4.038686896,25.519,,,,,,,,,,,
64000,38.98809524,84.49984515,4.016149532,25.915,,,,,,,,,,,
65000,39.18650794,84.60823784,3.975563436,26.317,,,,,,,,,,,
66000,39.48412698,84.63920718,3.933273312,26.716,,,,,,,,,,,
67000,39.68253968,84.77856922,3.88931944,27.12,,,,,,,,,,,
68000,39.98015873,84.8405079,3.862693507,27.516,,,,,,,,,,,
69000,40.27777778,84.87147724,3.833185598,27.919,,,,,,,,,,,
70000,40.37698413,84.93341592,3.813803801,28.315,,,,,,,,,,,
71000,40.87301587,85.08826262,3.78367249,28.715,,,,,,,,,,,
72000,41.07142857,85.19665531,3.738897336,29.116,,,,,,,,,,,
73000,41.56746032,85.24310932,3.706999774,29.513,,,,,,,,,,,
74000,42.75793651,85.4598947,3.673502623,29.911,,,,,,,,,,,
75000,42.55952381,85.49086404,3.658933834,30.314,,,,,,,,,,,
76000,42.95634921,85.58377207,3.616321237,30.718,,,,,,,,,,,
77000,43.25396825,85.7231341,3.571350662,31.123,,,,,,,,,,,
78000,43.5515873,85.76958811,3.539572444,31.528,,,,,,,,,,,
79000,43.65079365,85.86249613,3.522821972,31.932,,,,,,,,,,,
80000,44.3452381,85.93991948,3.497190235,32.333,,,,,,,,,,,
81000,44.54365079,86.12573552,3.471088126,32.736,,,,,,,,,,,
82000,44.84126984,86.26509755,3.469385141,33.139,,,,,,,,,,,
83000,45.03968254,86.35800557,3.449861493,33.54,,,,,,,,,,,
84000,45.23809524,86.41994426,3.421813728,33.947,,,,,,,,,,,
85000,45.73412698,86.43542893,3.378914832,34.353,,,,,,,,,,,
86000,45.93253968,86.57479096,3.353120253,34.748,,,,,,,,,,,
87000,45.73412698,86.51285228,3.319805444,35.153,,,,,,,,,,,
88000,46.42857143,86.74512233,3.296537785,35.56,,,,,,,,,,,
89000,46.52777778,86.760607,3.271542775,35.956,,,,,,,,,,,
90000,46.52777778,86.80706101,3.265320869,36.355,,,,,,,,,,,
91000,46.52777778,86.88448436,3.245771838,36.749,,,,,,,,,,,
92000,46.82539683,86.94642304,3.217080066,37.141,,,,,,,,,,,
93000,46.82539683,87.03933106,3.187773055,37.541,,,,,,,,,,,
94000,47.42063492,87.10126974,3.145248142,37.931,,,,,,,,,,,
95000,47.42063492,87.0703004,3.13532092,38.325,,,,,,,,,,,
96000,47.61904762,87.19417776,3.122720549,38.716,,,,,,,,,,,
97000,48.01587302,87.31805513,3.093331833,39.108,,,,,,,,,,,
98000,48.01587302,87.36450914,3.08241332,39.499,,,,,,,,,,,
99000,48.41269841,87.42644782,3.06846792,39.892,,,,,,,,,,,
,,,,,,,,,,,,,,,
Antal H lag: 2|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,,
0,1.488095238,4.072468256,13.8265611,0.265,,,,,,,,,,,
1000,3.869047619,8.516568597,10.08916673,0.698,,,,,,,,,,,
2000,7.44047619,19.85134717,8.503900377,1.13,,,,,,,,,,,
3000,12.00396825,34.82502323,7.960806368,1.563,,,,,,,,,,,
4000,14.88095238,44.41003407,7.603805068,1.995,,,,,,,,,,,
5000,19.04761905,51.70331372,7.308391874,2.425,,,,,,,,,,,
6000,21.72619048,58.5165686,7.078044653,2.855,,,,,,,,,,,
7000,23.90873016,63.9671725,6.886782132,3.292,,,,,,,,,,,
8000,24.90079365,67.46670796,6.802732328,3.724,,,,,,,,,,,
9000,26.48809524,69.108083,6.652549731,4.156,,,,,,,,,,,
10000,26.98412698,71.35336017,6.540973163,4.587,,,,,,,,,,,
11000,28.27380952,72.91731186,6.423715292,5.03,,,,,,,,,,,
12000,28.57142857,74.32641685,6.318815334,5.459,,,,,,,,,,,
13000,28.96825397,75.2864664,6.215666663,5.89,,,,,,,,,,,
14000,29.16666667,75.96779189,6.12938999,6.319,,,,,,,,,,,
15000,29.86111111,76.91235677,6.046510983,6.754,,,,,,,,,,,
16000,29.96031746,77.46980489,5.95320998,7.186,,,,,,,,,,,
17000,30.35714286,78.30597708,5.871845738,7.615,,,,,,,,,,,
18000,30.35714286,78.67760917,5.792257473,8.054,,,,,,,,,,,
19000,30.55555556,79.17311861,5.727602722,8.485,,,,,,,,,,,
20000,30.75396825,79.63765872,5.646107131,8.914,,,,,,,,,,,
21000,30.95238095,79.88541344,5.55193459,9.348,,,,,,,,,,,
22000,31.15079365,80.11768349,5.418764658,9.777,,,,,,,,,,,
23000,31.34920635,80.41189223,5.356492771,10.208,,,,,,,,,,,
24000,31.94444444,80.75255497,5.303664407,10.641,,,,,,,,,,,
25000,32.34126984,81.1551564,5.232861446,11.073,,,,,,,,,,,
26000,32.44047619,81.44936513,5.181995853,11.505,,,,,,,,,,,
27000,32.63888889,81.44936513,5.114939,11.939,,,,,,,,,,,
28000,33.13492063,81.60421183,5.000290137,12.38,,,,,,,,,,,
29000,33.23412698,81.71260452,4.907589093,12.813,,,,,,,,,,,
30000,33.63095238,81.83648188,4.850480022,13.246,,,,,,,,,,,
31000,34.02777778,82.1926293,4.76218214,13.677,,,,,,,,,,,
32000,34.22619048,82.20811397,4.694070694,14.109,,,,,,,,,,,
33000,34.62301587,82.45586869,4.611108397,14.541,,,,,,,,,,,
34000,35.01984127,82.6571694,4.554564417,14.975,,,,,,,,,,,
35000,35.71428571,83.02880149,4.520483885,15.407,,,,,,,,,,,
36000,35.51587302,83.0752555,4.497249736,15.84,,,,,,,,,,,
37000,35.81349206,83.29204088,4.437032345,16.272,,,,,,,,,,,
38000,36.40873016,83.50882626,4.385352496,16.708,,,,,,,,,,,
39000,36.21031746,83.50882626,4.324996342,17.143,,,,,,,,,,,
40000,36.60714286,83.63270362,4.294214149,17.577,,,,,,,,,,,
41000,36.80555556,83.803035,4.266076547,18.011,,,,,,,,,,,
42000,37.5,83.94239703,4.201846617,18.449,,,,,,,,,,,
