Antal H lag: 1|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,,
0,3.075396825,1.982037783,16.21365322,0.249,,,,,,,Lag 1,Lag 2,Lag 3,Lag 4,Lag 5
1000,23.51190476,65.65500155,8.419656752,0.642,,,,,,,87.00396825,89.78174603,65.77380952,69.44444444,52.77777778
2000,28.57142857,76.92784144,7.317548042,1.035,,,,,,,,,,,
3000,29.06746032,79.59120471,6.411104392,1.43,,,,,,,,,,,
4000,32.24206349,81.89842056,5.674441108,1.823,,,,,,,,,,,
5000,35.61507937,82.93589347,4.865314848,2.221,,,,,,,,,,,
6000,37.99603175,84.32951378,4.557680721,2.614,,,,,,,,,,,
7000,41.56746032,84.71663054,4.084752207,3.008,,,,,,,,,,,
8000,43.05555556,85.93991948,3.810486187,3.402,,,,,,,,,,,
9000,44.24603175,86.23412821,3.469183477,3.794,,,,,,,,,,,
10000,47.02380952,86.63672964,3.149940474,4.186,,,,,,,,,,,
11000,48.51190476,87.50387117,2.954456511,4.586,,,,,,,,,,,
12000,49.4047619,88.06131929,2.851848296,4.979,,,,,,,,,,,
13000,54.66269841,88.91297615,2.580311269,5.376,,,,,,,,,,,
14000,55.75396825,89.12976154,2.458414937,5.769,,,,,,,,,,,
15000,56.25,89.60978631,2.407942396,6.162,,,,,,,,,,,
16000,58.43253968,89.91947972,2.236703714,6.556,,,,,,,,,,,
17000,61.11111111,90.36853515,2.118720048,6.947,,,,,,,,,,,
18000,62.1031746,90.53886652,2.082597883,7.341,,,,,,,,,,,
19000,62.99603175,90.95695262,2.081522209,7.74,,,,,,,,,,,
20000,63.98809524,91.09631465,1.958870793,8.139,,,,,,,,,,,
21000,65.57539683,91.45246206,1.883006034,8.533,,,,,,,,,,,
22000,67.95634921,91.79312481,1.77109248,8.923,,,,,,,,,,,
23000,67.75793651,91.71570146,1.745344824,9.318,,,,,,,,,,,
24000,67.85714286,91.76215547,1.713291502,9.711,,,,,,,,,,,
