,,,
Batch:1. Learning rate: 0.001,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,2.976190476190476,3.406627438835553,16.28277076645953,0.285
1000,27.77777777777778,72.85537318055125,5.718078909960514,0.75
2000,31.646825396825395,79.3899039950449,4.785312955772211,1.211
3000,32.53968253968254,81.46484979869929,4.607104013360865,1.68
4000,35.714285714285715,83.02880148652834,4.186911743753474,2.14
5000,39.58333333333333,84.19015174976772,3.824245789956691,2.605
6000,37.698412698412696,84.050789718179,3.815310488752477,3.069
7000,41.86507936507937,84.85599256735831,3.4682671649378607,3.531
8000,44.94047619047619,86.49736760606999,3.373061699050139,3.992
9000,47.22222222222222,86.96190771136575,3.104673374446109,4.451
10000,46.82539682539682,87.6122638587798,2.97410619124413,4.918
11000,47.22222222222222,87.56580984825023,2.999750592998293,5.39
12000,55.35714285714286,88.649736760607,2.5003373939344384,5.852
13000,53.96825396825397,88.54134406937132,2.4515834186317136,6.32
14000,55.25793650793651,88.35552802725302,2.2814882496842146,6.794
15000,56.448412698412696,88.74264478166614,2.23815793415697,7.257
16000,57.04365079365079,88.66522143078353,2.264678732606688,7.719
17000,57.24206349206349,89.19170021678539,2.269112019853695,8.179
18000,55.75396825396825,88.80458346237225,2.3512907391670477,8.64
19000,59.72222222222222,89.16073087643234,2.1239266208714307,9.1
20000,60.416666666666664,89.57881697119852,2.115677000558012,9.561
21000,58.23412698412699,89.16073087643234,2.2252833043972156,10.024
22000,58.63095238095239,89.64075565190461,2.130647039751965,10.486
23000,58.432539682539684,89.39300092908022,2.117580621320441,10.948
24000,59.82142857142857,89.71817900278725,2.0942588721598643,11.409
25000,61.80555555555556,89.90399504490554,2.0205107626802303,11.872
26000,62.40079365079365,90.22917311861256,1.980796565456605,12.334
27000,60.11904761904761,89.40848559925674,2.0612072466718745,12.794
28000,60.019841269841265,89.42397026943325,2.1912543326179112,13.255
29000,59.32539682539682,88.88200681325488,2.006563372723178,13.716
30000,59.523809523809526,88.69619077113657,2.0107890164075113,14.176
31000,58.53174603174603,89.06782285537318,2.174981279567351,14.636
32000,60.21825396825397,89.42397026943325,2.0623722554344717,15.102
33000,59.226190476190474,89.34654691855064,2.113452452753197,15.573
34000,60.019841269841265,88.8355528027253,2.0339347699018626,16.033
35000,59.42460317460318,88.68070610096005,2.140434961835535,16.517
36000,61.011904761904766,89.0833075255497,2.1130558903134964,16.997
37000,61.80555555555556,89.03685351502013,2.001397213617619,17.468
38000,59.82142857142857,88.99039950449055,2.0194089430009075,17.941
39000,62.301587301587304,89.36203158872716,1.953118774812311,18.413
40000,61.011904761904766,88.94394549396097,1.9402881654281003,18.891
41000,61.408730158730165,89.22266955713843,2.0542789470476084,19.369
42000,63.988095238095234,89.33106224837411,1.8698533110593312,19.841
43000,61.70634920634921,89.37751625890368,1.9962530868582584,20.313
44000,58.82936507936508,88.26262000619387,2.2250033310573643,20.788
45000,54.26587301587301,87.7980799008981,2.447697442542092,21.261
46000,55.654761904761905,88.18519665531124,2.3118046141353794,21.736
47000,55.25793650793651,87.86001858160421,2.2793432137978007,22.209
48000,58.82936507936508,87.34902446577888,2.1272927227965353,22.688
49000,56.448412698412696,87.70517187983896,2.21924383535196,23.17
50000,58.730158730158735,87.95292660266337,2.171425921270543,23.645
51000,60.51587301587301,88.97491483431403,2.3112895542459397,24.122
52000,58.23412698412699,88.2161659956643,2.183763446538671,24.596
53000,57.14285714285714,88.35552802725302,2.2655535903050747,25.067
54000,58.03571428571429,88.06131929389905,2.2371000568371433,25.548
55000,61.011904761904766,87.99938061319294,2.0880445132732537,26.025
56000,60.11904761904761,86.66769897801177,2.0824181751016897,26.509
57000,58.92857142857143,88.37101269742953,2.221003973852305,26.988
58000,57.14285714285714,87.3645091359554,2.283203844833031,27.46
59000,60.912698412698404,87.48838649736761,2.1467488694463,27.938
60000,57.341269841269835,87.56580984825023,2.3583055275972233,28.422
61000,61.50793650793651,87.76711056054506,2.0766849198012824,28.904
62000,56.448412698412696,86.99287705171879,2.3058370334913643,29.388
63000,59.72222222222222,87.64323319913287,2.091684742559689,29.861
64000,56.25,87.00836172189533,2.3473747331196892,30.352
65000,57.24206349206349,87.48838649736761,2.3084262174512276,30.823
66000,59.32539682539682,86.96190771136575,2.139305586923232,31.307
67000,58.730158730158735,86.38897491483432,2.0544236142725274,31.783
68000,61.30952380952381,86.77609166924745,2.119303296258137,32.262
69000,58.23412698412699,86.34252090430475,2.236717026937401,32.738
70000,60.51587301587301,86.68318364818829,2.176834433257031,33.238
71000,58.432539682539684,86.18767420253948,2.2362695559858508,33.717
72000,55.45634920634921,84.79405388665221,2.432072895484027,34.213
73000,57.837301587301596,85.58377206565501,2.2118339551951154,34.7
74000,54.761904761904766,85.30504800247755,2.369087042674449,35.199
75000,53.37301587301587,82.61071539176216,2.500983856479731,35.698
76000,54.563492063492056,82.98234747599876,2.3935837671590314,36.173
77000,53.273809523809526,83.8649736760607,2.5510215441233277,36.635
78000,53.17460317460318,82.8894394549396,2.5388063348058325,37.165
79000,52.182539682539684,83.47785692164756,2.635159916688656,37.672
80000,49.60317460317461,82.82750077423351,2.9250983076554,38.163
81000,54.36507936507936,83.9888510374729,2.481259553678798,38.63
82000,53.273809523809526,84.46887581294519,2.583214548003573,39.095
83000,51.488095238095234,82.5797460514091,2.7952059826958044,39.554
84000,51.488095238095234,83.66367296376586,2.5635993303183064,40.017
85000,52.182539682539684,84.26757510065036,2.65986778056702,40.479
86000,50.99206349206349,83.23010219882316,2.5511005562991613,40.944
87000,52.182539682539684,83.3694642304119,2.722083820452727,41.413
88000,50.99206349206349,83.7410963146485,2.7238514441019133,41.87
89000,50.595238095238095,82.8894394549396,2.7237885045716452,42.332
90000,53.86904761904761,83.6791576339424,2.6373171888647695,42.799
91000,51.28968253968254,83.02880148652834,2.7155842319301895,43.261
92000,53.17460317460318,83.41591824094147,2.718282122075565,43.719
93000,50.99206349206349,82.75007742335089,2.6464836779710463,44.184
94000,50.69444444444444,83.15267884794054,2.718907957251984,44.644
95000,52.57936507936508,82.8894394549396,2.5179453265775704,45.104
96000,51.587301587301596,83.10622483741096,2.689631709670859,45.568
97000,51.19047619047619,83.41591824094147,2.7202974233937067,46.032
98000,50.79365079365079,82.73459275317435,2.8368300090330876,46.494
99000,52.976190476190474,84.49984515329824,2.552857954444168,46.955
100000,52.87698412698413,83.69464230411893,2.475272403143964,47.413
101000,54.662698412698404,83.9888510374729,2.3718387993421017,47.878
102000,54.36507936507936,84.25209043047384,2.453155662301374,48.336
103000,56.845238095238095,85.47537937441932,2.379192119194161,48.796
104000,55.45634920634921,85.32053267265407,2.3608951894793653,49.255
105000,57.14285714285714,85.84701145865593,2.17385856616095,49.715
106000,54.36507936507936,84.29854444100341,2.4480307865145328,50.174
107000,55.654761904761905,84.12821306906163,2.454300190169486,50.634
108000,55.952380952380956,84.96438525859399,2.282175844516627,51.093
109000,54.96031746031746,83.33849489005884,2.3842333220149,51.552
