Teties,,,
Cycles,Time,Err,Accuracy
0,0.873,0.038882072,2.083333333
1000,35.35,0.027730641,21.03174603
2000,69.714,0.027185914,24.50396825
3000,103.999,0.025252471,28.76984127
4000,138.422,0.024070423,32.53968254
5000,173.294,0.022254257,38.98809524
6000,208.062,0.020955625,42.46031746
7000,242.939,0.020199672,44.44444444
8000,277.751,0.018293077,51.58730159
9000,312.995,0.016648569,57.73809524
10000,347.421,0.016123611,58.13492063
11000,382.066,0.015500101,60.31746032
12000,416.7,0.015914774,58.73015873
13000,451.662,0.014769596,61.9047619
14000,486.516,0.014478978,63.88888889
15000,520.939,0.013362436,66.66666667
16000,555.414,0.013528644,65.67460317
17000,589.93,0.012968349,67.06349206
18000,624.369,0.014276203,62.1031746
19000,658.765,0.013796465,64.88095238
20000,693.232,0.017590125,53.86904762
21000,728.049,0.016447918,57.24206349
22000,762.443,0.014901394,62.40079365
23000,796.933,0.01527153,61.70634921
24000,831.393,0.014846253,63.0952381
25000,865.924,0.013435699,66.76587302
26000,900.34,0.01256555,70.33730159
27000,935.163,0.012092705,69.84126984
28000,969.682,0.011693856,72.02380952
29000,1004.716,0.011502663,71.82539683
30000,1039.269,0.011869622,71.42857143
31000,1073.944,0.012190507,69.74206349
32000,1108.921,0.010983709,72.32142857
33000,1143.502,0.011852229,69.74206349
34000,1178.036,0.011030208,72.32142857
35000,1212.666,0.010665194,74.70238095
36000,1247.167,0.012934007,67.16269841
37000,1281.674,0.030072852,23.71031746
38000,1316.071,0.021854748,42.16269841
39000,1350.519,0.019916524,49.4047619
40000,1384.868,0.017942566,53.86904762
41000,1419.345,0.017016795,55.8531746
42000,1453.898,0.016382693,55.95238095
43000,1488.566,NaN,2.777777778
44000,1523.143,NaN,2.777777778
