,,,
Teties,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,2.876984126984127,1.610405698358625,9.563478385433816,6.714
1000,7.837301587301587,20.052647878600187,6.809841632287566,52.203
2000,11.904761904761903,32.130690616289876,6.5020254979733805,96.633
3000,14.484126984126986,43.94549396097863,6.1996972238498,140.667
4000,16.765873015873016,48.327655620935275,6.08286987965721,185.229
5000,17.956349206349206,51.409104986063795,6.046161054497709,229.287
6000,18.75,54.13440693713224,5.870574847407981,273.383
7000,18.849206349206348,56.05450603902137,5.902628227527394,317.575
8000,19.642857142857142,60.49860637968412,5.8936615975545035,361.605
9000,19.543650793650794,61.752864663982656,5.812747274527268,405.672
10000,21.626984126984127,64.27686590275627,5.696606244108303,449.731
11000,21.03174603174603,65.73242489934964,5.498373235857468,493.838
12000,23.313492063492063,71.01269742954474,5.458379118921546,539.043
13000,23.511904761904763,70.70300402601426,5.437732742592482,584.907
14000,23.71031746031746,71.72499225766491,5.08691567812217,630.233
15000,23.71031746031746,74.15608547537937,5.183945981259499,674.309
16000,24.503968253968253,73.47475998761226,5.109282203045814,718.615
17000,24.404761904761905,75.95230721585631,5.010402960572068,762.649
18000,23.908730158730158,74.55868689996903,4.969586854702978,806.886
19000,24.107142857142858,74.80644162279343,4.8770732231599085,850.964
20000,22.71825396825397,73.62960668937751,4.87561084312295,894.883
21000,23.511904761904763,74.69804893155776,4.971013165510773,938.586
22000,25.396825396825395,75.02322700526479,4.884335271330786,982.311
23000,24.404761904761905,74.52771755961598,4.781054906384923,1026.486
24000,23.41269841269841,71.98823165066585,4.931014943789968,1070.381
25000,23.908730158730158,72.99473521213999,4.738251128571584,1114.2
26000,25.396825396825395,74.27996283679158,4.586046782955508,1158.18
27000,24.107142857142858,74.00123877361412,4.635389956508227,1202.134
28000,23.511904761904763,74.1096314648498,4.592738814422299,1246.318
29000,25,72.43728708578507,4.490672323009241,1290.216
30000,23.214285714285715,72.59213378755032,4.773492168265567,1333.907
