,,,
Lag 1. Batch:1. Learning rate: 0.001,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,2.976190476190476,1.9510684422421802,26.967758542513067,0.481
1000,6.845238095238096,15.918240941467946,16.589460102526786,1.177
2000,10.615079365079366,29.126664602043977,14.227069732409184,1.867
3000,15.178571428571427,41.467946732734596,13.491579659562344,2.549
4000,18.253968253968253,49.53545989470424,12.957608536893181,3.23
5000,19.345238095238095,55.77578197584392,12.624315043083515,3.914
6000,20.238095238095237,60.42118302880149,12.3333176856871,4.602
7000,21.825396825396826,63.20842366057603,11.833341521714082,5.286
8000,22.817460317460316,65.68597088882007,11.57369168868197,5.969
9000,23.71031746031746,67.57510065035615,11.35892358832772,6.656
10000,25,69.66553112418705,11.146112986056629,7.339
11000,25.198412698412696,71.02818209972128,10.798835066847635,8.017
12000,25.992063492063494,71.47723753484051,10.464021564464698,8.702
13000,25.892857142857146,72.56116444719729,10.164857705029394,9.387
14000,26.38888888888889,73.14958191390524,9.812013055376916,10.07
15000,27.083333333333332,74.00123877361412,9.493306602495645,10.762
16000,27.281746031746028,74.80644162279343,9.255558325872174,11.443
17000,27.67857142857143,75.24001238773614,9.112996772261972,12.124
18000,27.876984126984127,75.72003716320842,8.870610805031022,12.802
19000,28.174603174603174,76.27748528956333,8.654611382950632,13.478
20000,28.273809523809522,76.64911737379994,8.379369677803489,14.158
21000,29.06746031746032,77.20656550015484,8.209525446249266,14.839
22000,29.06746031746032,77.31495819139053,7.975495306106057,15.528
23000,29.464285714285715,77.99628367915763,7.7990596809165735,16.214
24000,29.66269841269841,78.38340043357076,7.59495149685781,16.893
25000,30.158730158730158,78.61567048621865,7.38816723506543,17.579
26000,30.952380952380953,78.94084855992567,7.243947554197834,18.261
27000,31.547619047619047,79.29699597398574,7.033437749241721,18.941
28000,31.646825396825395,79.25054196345617,6.854387281496011,19.622
29000,32.63888888888889,79.85444410034066,6.728549466401907,20.303
30000,33.23412698412698,79.9318674512233,6.63027321859219,20.986
31000,33.432539682539684,80.3034995354599,6.556890662080347,21.666
32000,34.72222222222222,80.76803964075565,6.444075397470285,22.349
33000,35.81349206349206,81.13967172499225,6.299531167423763,23.043
34000,36.40873015873016,81.43388045834624,6.109736582830995,23.729
35000,37.301587301587304,81.38742644781665,5.962189770045196,24.41
36000,37.698412698412696,81.57324248993496,5.855013146821361,25.093
37000,38.19444444444444,81.86745122328894,5.773333477534486,25.777
38000,38.2936507936508,82.16165995664292,5.7314426439246615,26.46
39000,39.08730158730159,82.37844533911428,5.567913353155342,27.143
40000,39.48412698412698,82.48683803034996,5.453397009911873,27.829
41000,40.07936507936508,82.65716940229173,5.367129367215477,28.511
42000,40.37698412698413,82.76556209352741,5.295580742645383,29.208
43000,40.87301587301587,83.16816351811707,5.205089073968883,29.895
44000,41.269841269841265,83.21461752864664,5.143971075088523,30.574
45000,42.16269841269841,83.3694642304119,5.009575533870439,31.263
46000,42.757936507936506,83.41591824094147,4.900047745157972,31.949
47000,42.9563492063492,83.61721895323629,4.8269827772856,32.632
48000,43.452380952380956,83.72561164447198,4.761978673872916,33.315
49000,43.75,83.97336636729638,4.703061126229981,33.996
50000,44.047619047619044,84.12821306906163,4.646196635839344,34.688
51000,44.14682539682539,84.19015174976772,4.571753805390036,35.371
52000,44.5436507936508,84.2366057602973,4.4778697735950805,36.062
53000,44.742063492063494,84.32951378135645,4.385781586224059,36.748
54000,45.23809523809524,84.37596779188603,4.327573411068874,37.437
55000,45.43650793650794,84.48436048312172,4.273445843492663,38.12
56000,45.73412698412698,84.6082378445339,4.245011994703929,38.841
57000,45.73412698412698,84.74759987612264,4.2323232204755765,39.525
58000,45.73412698412698,85.01083926912358,4.125588514840151,40.215
59000,45.83333333333333,85.0263239393001,4.0927443184113255,40.894
60000,46.13095238095239,85.19665531124187,4.043706215873214,41.578
