Lag 1. Batch:1. Learning rate: 0.001,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,0.892857143,2.771755962,13.52259869,0.246
1000,3.075396825,8.113967172,11.19610771,0.626
2000,5.654761905,17.31186126,10.22975622,1.009
3000,8.234126984,27.99628368,9.754926489,1.395
4000,10.71428571,37.24063177,9.432024669,1.78
5000,13.0952381,46.36110251,9.224583573,2.163
6000,14.88095238,52.6478786,9.032909685,2.554
7000,16.36904762,57.6339424,8.881773585,2.966
8000,18.65079365,61.28832456,8.692528423,3.366
9000,19.64285714,63.45617838,8.536856619,3.77
10000,20.13888889,65.06658408,8.390280548,4.161
11000,20.63492063,66.67698978,8.174623675,4.548
12000,21.62698413,67.9622174,8.043138094,4.934
13000,22.32142857,69.63456178,7.908046782,5.323
14000,22.81746032,70.64106535,7.737858454,5.709
15000,23.11507937,71.47723753,7.598697323,6.095
16000,23.41269841,72.43728709,7.474730118,6.478
17000,23.80952381,73.22700526,7.348723823,6.865
18000,24.00793651,73.95478476,7.215196792,7.254
19000,24.90079365,74.29544751,7.064306225,7.643
20000,25.3968254,75.17807371,6.945754224,8.03
21000,25.79365079,75.62712914,6.81595207,8.415
22000,26.09126984,76.04521524,6.699336958,8.804
23000,26.38888889,76.41684732,6.576442919,9.189
24000,26.68650794,77.06720347,6.450803037,9.579
25000,26.98412698,77.33044286,6.340122489,9.968
26000,27.18253968,77.67110561,6.244803284,10.356
27000,27.57936508,77.87240632,6.102889308,10.743
28000,27.77777778,78.25952307,6.025372845,11.129
29000,28.07539683,78.46082378,5.926445604,11.522
30000,28.37301587,78.84794054,5.82355854,11.91
31000,28.86904762,79.09569526,5.755157245,12.295
32000,29.06746032,79.389904,5.671272243,12.681
33000,29.06746032,79.52926603,5.563401045,13.067
34000,29.46428571,79.80799009,5.487047533,13.448
35000,29.56349206,80.07122948,5.397917726,13.834
36000,30.05952381,80.19510684,5.312199744,14.215
37000,30.55555556,80.5822236,5.277777697,14.597
38000,30.55555556,80.78352431,5.239240916,14.981
39000,31.15079365,80.92288634,5.152823132,15.373
40000,31.4484127,81.09321771,5.071700128,15.756
41000,31.6468254,81.41839579,5.014600881,16.137
42000,32.34126984,81.55775782,4.944149535,16.522
43000,33.03571429,81.83648188,4.880140966,16.905
44000,33.13492063,82.02229793,4.830933831,17.286
45000,33.63095238,82.13069062,4.786847116,17.669
46000,33.63095238,82.27005265,4.75530617,18.052
47000,34.72222222,82.57974605,4.660409876,18.435
48000,34.72222222,82.57974605,4.609195987,18.82
49000,34.92063492,82.8120161,4.574208609,19.203
50000,35.21825397,82.84298544,4.507938678,19.587
51000,35.51587302,82.99783215,4.442300212,19.97
52000,35.81349206,83.13719418,4.367773094,20.351
53000,36.01190476,83.33849489,4.340539716,20.734
54000,36.9047619,83.60173428,4.331254123,21.121
55000,37.00396825,83.64818829,4.305029068,21.504
56000,37.00396825,83.75658098,4.247765258,21.891
57000,37.20238095,83.61721895,4.172068921,22.276
58000,37.40079365,83.803035,4.134558231,22.657
