,,,
Teties,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,3.1746031746031744,8.764323319913286,11.499908866178457,6.862
1000,9.821428571428571,31.97584391452462,7.645334622089309,51.135
2000,12.103174603174603,37.84453391142769,7.16368862825874,95.478
3000,13.690476190476192,45.091359554041496,7.127632719864304,139.766
4000,17.16269841269841,49.53545989470424,6.7750838307054435,184.722
5000,16.567460317460316,48.652833694642304,6.721396043717245,229.346
6000,17.36111111111111,53.87116754413132,6.7042175265036565,274.042
7000,19.841269841269842,60.808299783214615,6.280371471996896,319.165
8000,20.03968253968254,63.62650975534221,6.250684652573685,363.754
9000,22.321428571428573,65.02013007122949,5.920581242959358,408.477
10000,22.123015873015873,67.52864663982658,6.039765359922522,453.206
11000,23.908730158730158,69.83586249612883,5.885911884376477,498.067
12000,25,71.12109012078042,5.53722399433384,542.923
13000,25.793650793650798,73.9857541034376,5.517594653862078,587.744
14000,26.190476190476193,74.07866212449676,5.50348967497223,632.422
15000,26.091269841269842,75.34840507897181,5.194387591515824,677.099
16000,26.785714285714285,76.43233199132858,5.03587819471257,721.912
17000,26.884920634920633,76.9897801176835,4.8747748652397584,766.616
18000,27.579365079365083,77.84143697739239,4.70652004022873,811.075
19000,27.77777777777778,77.16011148962527,4.722904019012603,855.436
20000,26.984126984126984,76.9897801176835,4.596504380927899,900.334
21000,27.579365079365083,77.64013626509755,4.5261486747914415,944.806
22000,26.58730158730159,77.7949829668628,4.682770869760258,989.047
23000,29.563492063492063,77.06720346856612,4.539017599484539,1033.628
24000,29.761904761904763,75.766491173738,4.285722527080721,1078.835
25000,28.968253968253972,75.56519046144317,4.358393147761447,1123.984
26000,28.670634920634917,75.59615980179622,4.363977492148711,1169.166
27000,28.76984126984127,74.04769278414369,4.349585942414913,1214.061
28000,29.166666666666668,73.67606069990708,4.349025255189272,1258.986
29000,28.373015873015873,71.72499225766491,4.5033910963633135,1303.407
30000,25.793650793650798,68.00867141529885,4.577074014747103,1348.508
31000,25.198412698412696,72.01920099101889,4.691816319955078,1393.591
32000,25.595238095238095,69.03065964694952,4.500548262210053,1438.324
