Teties,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,1.19047619,0.278724063,14.17088193,0.248
1000,7.738095238,22.68504181,9.739511206,1.913
2000,12.40079365,38.12325797,8.932859892,3.576
3000,17.36111111,49.76772995,8.322549066,5.242
4000,19.94047619,58.28429854,7.808376375,6.917
5000,21.92460317,63.239393,7.457150356,8.572
6000,22.32142857,67.3428306,7.23245972,10.224
7000,23.31349206,70.22297925,6.985946526,11.871
8000,24.20634921,71.38432951,6.66722372,13.527
9000,25.09920635,72.68504181,6.387349427,15.2
10000,25.5952381,74.66707959,6.281572705,16.862
11000,26.88492063,75.92133788,6.051442516,18.53
12000,26.88492063,77.12914215,5.957718577,20.193
13000,27.67857143,77.82595231,5.782291023,21.851
14000,27.87698413,78.01176835,5.559531071,23.51
15000,28.96825397,78.80148653,5.468613676,25.169
16000,28.57142857,79.31248064,5.36174218,26.829
17000,29.56349206,79.76153608,5.205991596,28.487
18000,30.45634921,80.33446888,5.116721769,30.149
19000,31.15079365,80.76803964,4.947828999,31.806
20000,31.94444444,80.87643233,4.791656099,33.464
21000,32.63888889,81.55775782,4.729356896,35.122
22000,33.43253968,81.83648188,4.647936432,36.785
23000,33.43253968,82.0377826,4.553051022,38.447
24000,34.42460317,82.48683803,4.438747132,40.101
25000,35.61507937,82.87395478,4.322086817,41.756
26000,36.30952381,83.30752555,4.274323109,43.411
27000,37.00396825,83.5397956,4.156044591,45.079
28000,37.99603175,83.71012697,4.085831224,46.74
29000,38.49206349,84.12821307,4.052605082,48.409
30000,39.08730159,84.1127284,3.942969875,50.068
31000,39.58333333,84.17466708,3.851413771,51.734
32000,39.18650794,84.45339114,3.824760041,53.391
33000,39.68253968,84.45339114,3.730651113,55.052
34000,41.07142857,84.80953856,3.661777453,56.708
35000,41.07142857,84.97986993,3.638601785,58.362
36000,41.86507937,84.97986993,3.522381265,60.023
37000,41.96428571,85.19665531,3.498908994,61.684
38000,42.06349206,85.50634871,3.491975416,63.346
39000,42.36111111,85.44441003,3.381599795,65.01
40000,42.36111111,85.50634871,3.334114248,66.67
41000,43.75,85.81604212,3.259986961,68.331
42000,44.24603175,86.01734283,3.232342918,69.99
43000,44.1468254,86.17218953,3.221275652,71.648
44000,44.04761905,85.98637349,3.126256729,73.333
45000,44.84126984,86.15670486,3.075554733,75.003
46000,45.43650794,86.32703623,3.027948128,76.664
47000,45.53571429,86.41994426,3.005184868,78.332
48000,46.13095238,86.55930629,2.957681304,79.988
49000,46.72619048,86.71415299,2.898068131,81.658
50000,46.52777778,86.63672964,2.850472812,83.361
51000,47.22222222,86.96190771,2.871439387,85.032
52000,48.21428571,87.0703004,2.795824152,86.69
53000,48.31349206,87.2251471,2.775829848,88.35
54000,48.90873016,87.19417776,2.728675905,90.012
55000,49.50396825,87.4883865,2.70008375,91.679
56000,49.90079365,87.55032518,2.64260866,93.339
57000,50.79365079,87.67420254,2.604432393,94.998
58000,51.38888889,87.86001858,2.586570942,96.663
59000,51.88492063,87.98389594,2.560168659,98.318
60000,52.18253968,88.15422731,2.537895402,99.988
61000,54.06746032,88.41746671,2.490919644,101.667
62000,54.46428571,88.58779808,2.4541135,103.333
63000,54.76190476,88.63425209,2.445152837,105.002
64000,54.96031746,88.82006813,2.437991226,106.672
65000,55.6547619,88.82006813,2.390896677,108.338
66000,55.45634921,88.91297615,2.374266071,110.004
67000,55.95238095,88.9903995,2.375589208,111.678
68000,56.54761905,89.03685352,2.346544847,113.345
69000,56.6468254,89.11427687,2.304549503,115.02
70000,57.24206349,89.30009291,2.295170449,116.694
71000,57.04365079,89.31557758,2.280156125,118.356
72000,57.34126984,89.39300093,2.257946806,120.026
73000,58.03571429,89.4084856,2.223421807,121.694
74000,58.23412698,89.64075565,2.232009752,123.362
75000,58.92857143,89.62527098,2.185214777,125.036
76000,59.42460317,89.85754103,2.174228765,126.703
77000,59.62301587,89.88851037,2.183372603,128.375
78000,60.11904762,89.95044906,2.139353656,130.051
79000,60.51587302,90.04335708,2.135798006,131.724
80000,60.71428571,90.12078043,2.107278272,133.389
81000,60.91269841,90.16723444,2.104671716,135.052
82000,60.81349206,90.18271911,2.096020228,136.767
83000,60.61507937,90.15174977,2.068691592,138.444
84000,61.11111111,90.27562713,2.075513076,140.116
85000,61.50793651,90.49241251,2.049421805,141.801
86000,61.60714286,90.43047383,2.040985542,143.476
87000,62.1031746,90.47692784,1.997889977,145.147
88000,62.5,90.56983586,1.985681055,146.818
89000,62.8968254,90.70919789,1.998883061,148.49
90000,63.39285714,90.69371322,1.96774635,150.165
91000,63.0952381,90.67822855,1.970791398,151.835
92000,63.69047619,90.72468256,1.935603774,153.507
93000,63.78968254,90.80210592,1.950568047,155.181
94000,63.98809524,90.78662124,1.91720842,156.856
95000,65.07936508,91.0188913,1.897986464,158.526
96000,64.48412698,90.97243729,1.900703228,160.197
97000,64.38492063,90.97243729,1.881799791,161.867
98000,64.88095238,91.06534531,1.894786866,163.535
99000,64.78174603,91.03437597,1.8651259,165.209
100000,64.88095238,91.15825333,1.856860242,166.88
101000,65.37698413,91.20470734,1.863276208,168.55
102000,65.27777778,91.173738,1.858173994,170.256
103000,65.37698413,91.23567668,1.848122301,171.931
104000,65.67460317,91.37503871,1.817263555,173.605
105000,65.67460317,91.26664602,1.814414769,175.284
106000,65.57539683,91.3285847,1.811726797,176.957
107000,65.17857143,91.15825333,1.805273212,178.635
108000,66.07142857,91.42149272,1.798936742,180.302
109000,66.96428571,91.49891607,1.757364737,181.966
110000,66.36904762,91.39052338,1.757543901,183.638
111000,66.86507937,91.37503871,1.738357963,185.314
112000,67.06349206,91.60730876,1.738647306,186.997
113000,67.06349206,91.56085475,1.740462824,188.68
114000,67.26190476,91.56085475,1.733539704,190.368
115000,66.66666667,91.49891607,1.738558574,192.059
116000,67.36111111,91.56085475,1.72839782,193.756
117000,68.25396825,91.80860948,1.712115174,195.437
118000,67.95634921,91.76215547,1.697979884,197.124
119000,67.85714286,91.76215547,1.681481097,198.836
120000,68.25396825,91.88603283,1.682881593,200.513
121000,68.65079365,91.83957882,1.665357138,202.18
122000,69.04761905,91.99442552,1.643866047,203.86
123000,68.84920635,92.02539486,1.6692378,205.528
124000,69.1468254,92.00991019,1.634871463,207.202
125000,69.74206349,92.18024156,1.647747931,208.903
126000,69.54365079,92.22669557,1.645734329,210.604
127000,69.1468254,92.04087953,1.623227663,212.297
128000,69.3452381,92.13378755,1.631776299,213.968
129000,69.44444444,92.02539486,1.612090432,215.646
130000,69.74206349,92.22669557,1.613866823,217.317
131000,69.74206349,92.18024156,1.606424193,218.98
132000,69.64285714,92.2112109,1.605349725,220.667
133000,69.84126984,92.22669557,1.590067441,222.344
134000,69.54365079,92.25766491,1.606357954,224.029
135000,70.43650794,92.33508826,1.573365229,225.717
136000,70.33730159,92.39702694,1.576070567,227.395
137000,70.33730159,92.41251161,1.548123836,229.062
138000,70.93253968,92.42799628,1.56122949,230.739
