Teties,,,
Cycles,Time,Err,Accuracy
0,0.884,0.038736892,4.365079365
1000,35.547,0.028480864,20.23809524
2000,70.15,0.025505767,25.99206349
3000,104.988,0.024362396,30.25793651
4000,139.807,0.023047842,35.41666667
5000,174.568,0.021122436,41.86507937
6000,209.385,0.021392723,40.77380952
7000,244.218,0.019459572,48.31349206
8000,278.955,0.018797325,49.00793651
9000,313.761,0.017680044,53.76984127
10000,348.734,0.017905093,53.17460317
11000,383.575,0.01648334,54.96031746
12000,418.449,0.016708613,55.95238095
13000,453.283,0.016228479,57.34126984
14000,488.436,0.01559309,58.03571429
15000,523.425,0.015108079,57.93650794
16000,558.368,0.015678019,57.73809524
17000,593.412,0.014022264,62.59920635
18000,628.313,0.014348809,62.1031746
19000,663.158,0.013395639,64.28571429
20000,698.085,0.01302685,64.08730159
21000,733.259,0.012693418,65.57539683
22000,768.266,0.012231785,67.75793651
23000,803.957,0.012952982,65.87301587
24000,838.862,0.012833147,65.37698413
25000,873.774,0.011924049,67.85714286
26000,909.071,0.012231121,68.65079365
27000,943.655,0.011968701,69.3452381
28000,978.438,0.011993937,69.54365079
29000,1013.276,0.011121112,71.32936508
30000,1048.097,0.011594881,69.64285714
31000,1083.016,0.011430166,71.92460317
32000,1118.431,0.011440339,70.93253968
33000,1153.863,0.011746866,70.13888889
34000,1189.132,0.010639011,72.61904762
35000,1224.391,0.01093602,71.13095238
36000,1259.218,0.010961661,71.62698413
37000,1294.086,0.010629134,71.82539683
38000,1328.871,0.010688042,73.41269841
39000,1363.644,0.010068646,75.29761905
40000,1398.361,0.009930356,75.69444444
41000,1433.233,0.010132597,74.8015873
42000,1468.026,0.009400223,76.38888889
43000,1502.798,0.009945631,74.6031746
44000,1537.535,0.009769193,76.38888889
45000,1572.255,0.010179808,74.70238095
46000,1606.956,0.010257128,74.4047619
47000,1641.924,0.009531776,76.38888889
48000,1676.683,0.009225865,77.18253968
49000,1711.459,0.009590445,76.58730159
50000,1746.179,0.009414288,76.88492063
51000,1780.786,0.009416644,75.29761905
52000,1815.989,0.009216774,77.67857143
53000,1850.694,0.008959755,77.67857143
54000,1885.357,0.00915063,77.18253968
55000,1919.959,0.009086555,77.97619048
56000,1954.967,0.009226107,76.28968254
57000,1989.704,0.008918863,78.17460317
58000,2024.324,0.008822389,77.38095238
59000,2058.934,0.009019668,77.67857143
60000,2093.597,0.008909514,78.37301587
61000,2128.453,0.009549259,76.19047619
62000,2163.083,0.009444656,74.90079365
63000,2197.778,0.009615214,74.50396825
64000,2232.569,0.009261962,77.38095238
65000,2267.081,0.009417646,76.38888889
66000,2302.357,0.009531865,76.28968254
