,,,
Lag 1. Batch:1. Learning rate: 0.001,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,3.1746031746031744,5.8222359863734905,1.4513798606743569,0.44
1000,47.12301587301587,86.69866831836482,0.7178347832101495,1.15
2000,66.36904761904762,92.24218024156086,0.48098690851632303,1.847
3000,77.18253968253968,94.27067203468566,0.3533839676977731,2.535
4000,81.64682539682539,95.23072158563023,0.2954666866852152,3.23
5000,84.12698412698413,95.61783834004336,0.2446389672168993,3.923
6000,88.39285714285714,96.39207184886962,0.20007223468986557,4.615
7000,88.78968253968253,96.63982657169402,0.19373429820933127,5.307
8000,88.59126984126983,96.77918860328275,0.19331985860688503,5.998
9000,87.89682539682539,96.73273459275318,0.20312437167417544,6.695
10000,89.78174603174604,96.9959739857541,0.182064778486969,7.387
11000,89.78174603174604,97.13533601734284,0.172971860458738,8.084
12000,90.47619047619048,97.18179002787241,0.17430155451736143,8.774
13000,90.37698412698413,97.50696810157945,0.17048967971540932,9.467
14000,91.17063492063492,97.55342211210902,0.159214148626601,10.159
15000,90.97222222222221,97.58439145246206,0.1627716563794276,10.851
16000,91.07142857142857,97.50696810157945,0.15245428588831275,11.546
17000,91.86507936507937,97.69278414369774,0.13544133603811764,12.236
18000,91.66666666666666,97.52245277175597,0.1458613068689755,12.928
19000,92.26190476190477,97.70826881387427,0.1387212724993101,13.616
20000,92.95634920634922,97.87860018581604,0.13341221384548943,14.314
21000,92.55952380952381,97.69278414369774,0.1354144724910493,15.011
22000,92.26190476190477,97.75472282440384,0.14300662768741892,15.709
23000,92.26190476190477,97.77020749458036,0.12643251840277286,16.398
24000,90.77380952380952,97.47599876122639,0.14193936857166317,17.089
25000,91.96428571428571,97.70826881387427,0.12758908860904275,17.777
26000,93.75,97.94053886652215,0.11710876521884332,18.466
27000,92.85714285714286,97.92505419634561,0.12923257600356014,19.171
28000,93.15476190476191,98.17280891917002,0.125007498773997,19.859
29000,93.45238095238095,98.00247754722824,0.11548795746098257,20.552
30000,93.5515873015873,98.14183957881697,0.11323388142342072,21.245
31000,93.5515873015873,98.12635490864045,0.11416204600080708,21.934
32000,93.5515873015873,98.11087023846392,0.12023519204912599,22.623
33000,93.45238095238095,98.20377825952306,0.1099046318556831,23.312
34000,93.15476190476191,98.06441622793434,0.11413406710716383,24.01
35000,93.65079365079364,98.20377825952306,0.10512405886686627,24.703
36000,93.5515873015873,98.14183957881697,0.10522351961606163,25.394
37000,93.9484126984127,98.23474759987613,0.10527079985607624,26.083
38000,94.04761904761905,98.20377825952306,0.10214118754961962,26.777
39000,94.44444444444444,98.23474759987613,0.1003716233048426,27.463
40000,94.44444444444444,98.18829358934654,0.102850828908662,28.152
41000,94.94047619047619,98.26571694022917,0.09967938886563098,28.843
42000,94.64285714285714,98.25023227005265,0.09758447442822386,29.532
43000,94.94047619047619,98.37410963146485,0.098316069195989,30.222
44000,94.14682539682539,98.20377825952306,0.10426840204041563,30.912
45000,94.24603174603175,98.23474759987613,0.10433197642076686,31.6
46000,94.64285714285714,98.3431402911118,0.09493817160961085,32.291
47000,94.14682539682539,98.31217095075874,0.10601822034938327,32.982
48000,94.34523809523809,98.29668628058222,0.10481810888225696,33.67
49000,94.94047619047619,98.43604831217095,0.09735073314517234,34.362
