Lag 1. Batch:1. Learning rate: 0.001,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,2.777777778,7.587488386,8.225245457,0.446
1000,14.48412698,43.44998452,1.05916653,1.205
2000,20.03968254,61.76834933,1.043848877,1.935
3000,21.52777778,68.62805822,1.023474428,2.668
4000,25,75.61164447,1.003051138,3.402
5000,27.18253968,82.64168473,0.963989997,4.131
6000,27.67857143,84.2675751,0.943718142,4.859
7000,27.67857143,84.9953546,0.923522842,5.59
8000,27.97619048,85.44441003,0.90232598,6.323
9000,27.77777778,85.81604212,0.908098311,7.052
10000,27.77777778,85.83152679,0.898904277,7.779
11000,27.87698413,86.26509755,0.886133706,8.509
12000,27.87698413,86.32703623,0.876889042,9.247
13000,27.97619048,86.52833695,0.866622191,9.979
14000,27.87698413,86.55930629,0.861762447,10.71
15000,27.87698413,86.57479096,0.850615158,11.441
16000,27.97619048,86.74512233,0.857160261,12.185
17000,27.97619048,86.99287705,0.845542266,12.914
18000,28.57142857,87.03933106,0.845467207,13.659
19000,28.47222222,87.17869309,0.844180262,14.397
20000,28.67063492,87.19417776,0.839122309,15.146
21000,28.47222222,87.13223908,0.837959349,15.877
22000,28.57142857,87.2251471,0.829130648,16.608
23000,28.86904762,87.3335398,0.827382698,17.337
24000,28.86904762,87.27160111,0.830019888,18.071
25000,29.16666667,87.50387117,0.8175092,18.797
26000,29.16666667,87.61226386,0.818758221,19.536
27000,29.26587302,87.45741716,0.812523097,20.269
28000,29.16666667,87.4883865,0.819928852,21.005
29000,29.26587302,87.58129452,0.812257464,21.735
30000,29.36507937,87.68968721,0.811351532,22.465
31000,29.36507937,87.61226386,0.801665245,23.213
32000,29.36507937,87.73614122,0.80158095,23.946
33000,29.46428571,87.82904924,0.797648794,24.674
34000,29.36507937,87.84453391,0.805577739,25.411
35000,29.36507937,87.89098792,0.800511427,26.142
36000,29.56349206,87.90647259,0.793618924,26.87
37000,29.56349206,87.86001858,0.799539091,27.601
38000,29.56349206,87.86001858,0.79184306,28.399
39000,29.76190476,87.98389594,0.795748759,29.171
40000,29.66269841,88.01486528,0.791939493,29.903
41000,29.86111111,87.99938061,0.79014762,30.635
42000,30.05952381,88.06131929,0.785080509,31.368
43000,30.15873016,88.07680396,0.788647121,32.102
44000,30.15873016,88.06131929,0.782271856,32.832
45000,30.15873016,88.13874264,0.783979399,33.568
46000,30.25793651,88.07680396,0.780952344,34.307
47000,30.35714286,88.09228863,0.780952442,35.049
48000,30.45634921,88.20068133,0.780133851,35.785
49000,30.45634921,88.16971199,0.777073485,36.521
