,,,
Lag 1. Batch:1. Learning rate: 0.001,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,2.380952380952381,0.37163208423660576,1.0142703399944968,0.446
1000,27.18253968253968,82.95137813564571,0.884651540704121,1.149
2000,27.77777777777778,85.41344069371323,0.8706199956199607,1.851
3000,29.86111111111111,85.9554041498916,0.8128913635240865,2.556
4000,32.63888888888889,87.3645091359554,0.7798197066299347,3.253
5000,40.37698412698413,88.99039950449055,0.7234218843301489,3.952
6000,41.86507936507937,89.1452462062558,0.7107071444136169,4.655
7000,47.519841269841265,90.07432641684731,0.6952544050436047,5.354
8000,55.75396825396825,91.6537627748529,0.6400064712169147,6.053
9000,58.432539682539684,92.00991018891298,0.616684698196104,6.751
10000,59.62301587301587,92.24218024156086,0.5973594699983078,7.454
11000,63.78968253968254,93.10932177144626,0.5693084028320684,8.149
12000,68.75,93.7441932486838,0.5422834352160929,8.863
13000,70.23809523809523,94.14679467327346,0.5271355835187052,9.56
14000,72.02380952380952,94.62681944874575,0.519201284979758,10.259
15000,72.12301587301587,94.50294208733354,0.5139486629542762,10.956
16000,74.0079365079365,94.89005884174667,0.5002200905485474,11.661
17000,76.48809523809523,95.30814493651285,0.4698362941931777,12.359
18000,76.98412698412699,95.46299163827811,0.4554077587172027,13.061
19000,76.38888888888889,95.35459894704242,0.45333280930449665,13.759
20000,76.68650793650794,95.37008361721895,0.4465885102280216,14.476
21000,78.47222222222221,95.74171570145555,0.4310289591326951,15.185
22000,79.76190476190477,95.94301641375039,0.4136061231907023,15.881
23000,80.05952380952381,96.05140910498606,0.4085638523198243,16.589
24000,81.15079365079364,96.17528646639826,0.3981115252066341,17.3
25000,80.85317460317461,96.12883245586869,0.39239871792386144,18.002
26000,82.34126984126983,96.34561783834005,0.3861444159617329,18.705
27000,82.73809523809523,96.45401052957571,0.38172542361142175,19.407
28000,82.8373015873016,96.42304118922267,0.3706917601163733,20.105
29000,82.73809523809523,96.42304118922267,0.3651768914070955,20.807
30000,84.32539682539682,96.67079591204707,0.3558051994029463,21.508
31000,83.82936507936508,96.65531124187055,0.35572837496224785,22.206
32000,85.11904761904762,96.82564261381232,0.3453443762564562,22.907
33000,84.92063492063492,96.74821926292971,0.3452261006774699,23.607
34000,84.72222222222221,96.77918860328275,0.3417284160264621,24.307
35000,84.62301587301587,96.77918860328275,0.3354453556809403,25.01
36000,84.82142857142857,96.88758129451843,0.33469560909031376,25.719
37000,85.41666666666666,96.94951997522453,0.3275016462869452,26.428
38000,86.30952380952381,96.9959739857541,0.31806754449945757,27.135
39000,86.5079365079365,97.1198513471663,0.3111573173687771,27.837
40000,85.9126984126984,97.04242799628368,0.3098091259692798,28.537
41000,87.59920634920636,97.33663672963766,0.30256627321668117,29.238
42000,86.30952380952381,97.13533601734284,0.3063345842045524,29.942
43000,87.40079365079364,97.25921337875502,0.2998736270702174,30.642
44000,87.3015873015873,97.18179002787241,0.2977261482039124,31.345
45000,87.10317460317461,97.27469804893157,0.2969432400152967,32.05
46000,87.89682539682539,97.38309074016723,0.28870667156445073,32.747
47000,88.78968253968253,97.49148343140291,0.2845963940368812,33.446
48000,89.28571428571429,97.56890678228554,0.2790695786853573,34.141
49000,88.98809523809523,97.50696810157945,0.2791521141308762,34.853
