,,,
Lag 1. Batch:1. Learning rate: 0.001,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,2.6785714285714284,4.273768968720966,12.837919064845963,0.439
1000,51.091269841269835,87.37999380613192,3.5118705239780255,1.135
2000,58.432539682539684,90.33756580984826,2.5615951445501066,1.823
3000,64.38492063492063,91.97894084855992,2.0047327909340886,2.508
4000,72.51984126984127,93.51192319603592,1.7434610919794475,3.201
5000,77.38095238095238,94.2397026943326,1.3112456051338452,3.888
6000,77.28174603174604,94.59585010839268,1.2694156900713924,4.572
7000,80.65476190476191,95.04490554351193,1.1652791392298893,5.262
8000,81.4484126984127,95.29266026633633,1.1099930729544576,5.949
9000,82.2420634920635,95.71074636110251,1.0035182580203403,6.639
10000,85.21825396825396,95.97398575410344,0.8741251205276334,7.328
11000,84.62301587301587,96.25270981728089,0.9009344960331919,8.013
12000,85.9126984126984,96.08237844533912,0.7661716212515958,8.701
13000,88.09523809523809,96.5624032208114,0.7554896593327256,9.389
14000,88.19444444444444,96.8101579436358,0.7485447535299634,10.075
15000,87.79761904761905,96.79467327345928,0.7216565495387359,10.764
16000,87.89682539682539,96.73273459275318,0.7601475827170593,11.451
17000,88.29365079365078,96.88758129451843,0.7160754734532787,12.136
18000,90.07936507936508,97.04242799628368,0.6555583531116341,12.824
19000,90.17857142857143,97.1198513471663,0.6938844969053523,13.508
20000,90.37698412698413,97.19727469804893,0.6644848961005606,14.198
21000,89.28571428571429,97.10436667698978,0.6320669570748932,14.912
22000,90.07936507936508,97.29018271910809,0.6693230708251726,15.603
23000,90.47619047619048,97.39857541034375,0.6051331992310791,16.296
24000,91.07142857142857,97.32115205946114,0.5600499230343746,16.982
25000,91.46825396825396,97.63084546299163,0.5795762943339003,17.664
26000,91.36904761904762,97.53793744193248,0.5722013537999276,18.357
27000,91.76587301587301,97.70826881387427,0.6012779361176354,19.049
28000,91.07142857142857,97.49148343140291,0.5196187861915378,19.735
29000,91.17063492063492,97.59987612263859,0.59096215670254,20.421
30000,91.46825396825396,97.70826881387427,0.548947636459713,21.105
31000,91.56746031746032,97.61536079281511,0.514314764921652,21.792
32000,91.46825396825396,97.64633013316816,0.5183633304716667,22.475
33000,91.26984126984127,97.69278414369774,0.5418725942925536,23.167
34000,91.07142857142857,97.55342211210902,0.5129921391034733,23.854
35000,91.96428571428571,97.77020749458036,0.5015131561462414,24.538
36000,91.86507936507937,97.78569216475688,0.491796170211525,25.223
37000,91.46825396825396,97.75472282440384,0.5057510996051533,25.909
38000,91.56746031746032,97.77020749458036,0.49264762814717494,26.591
39000,91.96428571428571,97.86311551563952,0.48331915694825406,27.278
40000,92.36111111111111,97.86311551563952,0.4989636318333047,27.971
41000,92.06349206349206,97.83214617528647,0.4770716077691127,28.658
42000,92.65873015873017,97.81666150510993,0.4368181957598216,29.344
43000,92.7579365079365,97.9095695261691,0.45651648145709117,30.035
44000,93.25396825396825,98.01796221740476,0.4799937012499719,30.716
45000,93.05555555555556,98.0334468875813,0.4904834716260751,31.401
46000,93.35317460317461,98.0334468875813,0.4620621999696174,32.088
47000,93.35317460317461,98.01796221740476,0.45614909387157077,32.78
48000,92.85714285714286,98.0334468875813,0.48392618154146605,33.464
49000,93.9484126984127,98.07990089811088,0.43414728709681644,34.153
