Teties,,,
Cycles,Time,Err,Accuracy
0,0.791,0.046840959,2.380952381
1000,31.739,0.025494517,31.94444444
2000,62.591,0.02151409,41.66666667
3000,93.498,0.016366502,58.23412698
4000,124.474,0.014111797,62.5
5000,155.675,0.012904406,66.66666667
6000,186.767,0.011916834,69.24603175
7000,217.914,0.011545181,69.94047619
8000,249.036,0.010791993,71.32936508
9000,279.874,0.010386931,73.80952381
10000,310.744,0.009610397,75.1984127
11000,341.729,0.009533753,75.79365079
12000,372.685,0.008876881,77.48015873
13000,403.867,0.008475407,78.47222222
14000,434.839,0.008297246,79.06746032
15000,465.88,0.008305669,79.16666667
16000,496.723,0.008201318,79.56349206
17000,527.818,0.007837699,80.05952381
18000,559.094,0.007608437,81.0515873
19000,590.14,0.007418542,81.54761905
20000,621.168,0.007291751,81.74603175
21000,652.064,0.006988284,82.44047619
22000,682.959,0.006843666,83.03571429
23000,714.07,0.007075511,82.24206349
24000,745.041,0.007079358,82.24206349
25000,775.974,0.00693994,82.73809524
26000,806.854,0.00645852,84.12698413
27000,837.773,0.006589657,83.33333333
28000,868.641,0.006262877,84.02777778
29000,900.032,0.006388832,84.32539683
30000,931.294,0.006231777,84.22619048
