,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,3.7698412698412698,4.428615670486219,8.953541460284132,0.065
1000,5.059523809523809,12.650975534221121,6.853474227046434,0.571
2000,5.952380952380952,16.72344379064726,6.605306170037294,1.082
3000,7.440476190476191,23.443790647259213,6.37307002351992,1.587
4000,10.615079365079366,29.420873335397957,6.237396449373202,2.093
5000,12.599206349206348,33.8649736760607,6.096678434575883,2.6
6000,13.88888888888889,37.90647259213379,6.005743783129874,3.109
7000,15.575396825396826,43.140291111799314,5.874380044003054,3.616
8000,16.36904761904762,45.416537627748525,5.824182531690649,4.119
9000,17.46031746031746,48.73025704552493,5.792373180900322,4.626
10000,18.551587301587304,53.004026014245895,5.732835464478125,5.13
11000,19.246031746031747,53.85568287395478,5.6337260170534105,5.639
12000,19.345238095238095,56.10096004955094,5.604235261815516,6.144
13000,19.940476190476193,58.144936512852276,5.549255946070604,6.65
14000,20.535714285714285,59.6314648497987,5.454619831574805,7.179
15000,20.436507936507937,60.529575720037165,5.391323322674803,7.683
16000,21.23015873015873,62.91421492722205,5.337429286288321,8.189
17000,22.123015873015873,64.1065345308145,5.351781354103952,8.699
18000,22.321428571428573,65.54660885723133,5.2686971087175545,9.202
19000,22.71825396825397,67.1105605450604,5.235257888150978,9.706
20000,23.71031746031746,68.45772685041808,5.174509366883931,10.211
21000,23.908730158730158,70.00619386807061,5.142271332616892,10.717
22000,24.00793650793651,70.68751935583772,5.116668917823551,11.225
23000,24.900793650793652,71.77144626819448,5.097527849444593,11.731
24000,24.900793650793652,72.49922576649116,5.055470775136416,12.239
25000,25.595238095238095,72.99473521213999,5.026986806903161,12.747
26000,25.496031746031743,73.69154537008362,4.977759119080618,13.253
27000,25.793650793650798,74.07866212449676,4.991179720317478,13.76
28000,26.686507936507937,75.20904304738309,4.901129784679244,14.266
29000,26.28968253968254,75.33292040879529,4.903844283685641,14.771
30000,26.884920634920633,75.96779188603283,4.872700225823979,15.276
31000,26.785714285714285,76.46330133168163,4.836014143718817,15.782
32000,26.984126984126984,77.03623412821307,4.808868648965249,16.292
33000,27.281746031746028,77.31495819139053,4.764774952629074,16.8
34000,27.18253968253968,77.73304428615671,4.736901578122983,17.313
35000,27.380952380952383,78.19758439145245,4.71962765369562,17.818
36000,27.48015873015873,78.25952307215857,4.683767817257173,18.325
37000,27.579365079365083,78.80148652833695,4.6874005681458355,18.831
38000,27.77777777777778,79.28151130380922,4.649769474716984,19.335
39000,27.876984126984127,79.15763394239703,4.602248477260876,19.838
40000,28.174603174603174,79.746051409105,4.5855873265434415,20.337
41000,28.174603174603174,79.96283679157634,4.542878296627693,20.84
42000,28.075396825396826,80.21059151440075,4.529319379275413,21.345
43000,28.174603174603174,80.1796221740477,4.516341690806185,21.851
44000,28.47222222222222,80.50480024775473,4.525155668545612,22.357
45000,29.06746031746032,80.87643233199134,4.462433700038742,22.865
46000,29.06746031746032,81.26354908640447,4.43194542091889,23.371
47000,29.166666666666668,81.09321771446268,4.455427710978908,23.875
48000,29.265873015873016,81.41839578816972,4.424209455277092,24.382
49000,29.464285714285715,81.52678847940538,4.3932834028041,24.901
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,2.380952380952381,6.642923505729328,10.273430145116237,0.114
1000,9.027777777777777,28.569216475689068,8.253866185968471,0.93
2000,12.599206349206348,37.25611644471973,7.9926653928289735,1.748
3000,15.873015873015872,45.2771755961598,7.724906770991604,2.579
4000,17.956349206349206,51.37813564571074,7.530141137593809,3.397
5000,20.03968253968254,55.76029730566739,7.4039441754383555,4.215
6000,20.734126984126984,59.66243419015175,7.231156250178716,5.033
7000,21.32936507936508,62.078042737689685,7.0863460873165645,5.853
8000,22.023809523809522,65.12852276246515,7.037069313850446,6.68
9000,22.71825396825397,66.89377516258904,6.900498756584913,7.499
10000,22.916666666666664,68.02415608547538,6.751435427115991,8.317
11000,23.41269841269841,69.71198513471663,6.645068996105831,9.133
12000,23.809523809523807,71.50820687519357,6.5665117297720546,9.955
13000,24.206349206349206,72.12759368225457,6.444335241790568,10.769
14000,24.206349206349206,73.08764323319913,6.369805151697042,11.583
15000,24.503968253968253,73.93930009290803,6.243689703573297,12.397
16000,24.503968253968253,74.40384019820378,6.127422886329215,13.21
17000,25,75.19355837720657,6.038867110720386,14.026
18000,25,75.98327655620936,5.921152124208634,14.84
19000,25.396825396825395,76.47878600185815,5.858057888747266,15.655
20000,25.496031746031743,77.05171879838959,5.782512625679153,16.471
21000,25.694444444444443,77.65562093527409,5.676188265709821,17.297
22000,26.38888888888889,78.39888510374729,5.593921976919906,18.112
23000,26.28968253968254,78.90987921957262,5.538133477192687,18.937
24000,26.38888888888889,79.29699597398574,5.477585642315073,19.754
25000,26.091269841269842,79.52926602663364,5.361336916575591,20.572
26000,26.785714285714285,79.73056673892846,5.317402637078788,21.382
27000,26.686507936507937,80.33446887581295,5.234451147403942,22.205
28000,26.58730158730159,80.4893155775782,5.113481617404526,23.017
29000,26.984126984126984,80.8609476618148,5.104615551719839,23.83
30000,27.18253968253968,81.1087023846392,5.0218359489191915,24.641
31000,26.984126984126984,81.34097243728708,4.94211392740654,25.454
32000,27.18253968253968,81.63518117064108,4.871944275328677,26.259
33000,27.579365079365083,81.75905853205326,4.818949238289155,27.086
34000,27.976190476190478,82.0842366057603,4.749988951552918,27.906
35000,27.976190476190478,82.22359863734903,4.698768509292615,28.725
36000,28.373015873015873,82.50232270052648,4.645297510434938,29.541
37000,28.373015873015873,82.67265407246825,4.6023551302310315,30.352
38000,28.670634920634917,82.87395478476309,4.552239946367432,31.167
39000,28.670634920634917,82.96686280582225,4.482894711405031,31.987
40000,29.166666666666668,83.09074016723443,4.459126461262332,32.798
41000,29.464285714285715,83.3075255497058,4.383954219971135,33.619
42000,29.761904761904763,83.46237225147104,4.339134886683594,34.426
43000,29.66269841269841,83.5552802725302,4.280859177328835,35.234
44000,29.66269841269841,83.60173428305977,4.266875852058952,36.052
45000,30.158730158730158,83.75658098482502,4.209868083763286,36.865
46000,30.456349206349202,83.84948900588417,4.172264877225604,37.687
47000,30.158730158730158,83.88045834623723,4.114741032119627,38.493
48000,30.654761904761905,83.9269123567668,4.028898219978192,39.3
49000,30.753968253968257,84.08175905853206,4.005572815765596,40.115
,,,
Antal H lag: 1|Nueroner pr lag 30,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,4.464285714285714,1.1458655930628678,11.320692426411474,0.156
1000,5.4563492063492065,17.234437906472593,8.862354197292987,1.258
2000,10.714285714285714,33.01331681635181,8.259723974590363,2.388
3000,14.880952380952381,45.30814493651285,7.767687117415955,3.493
4000,17.956349206349206,53.45308144936512,7.53314460949496,4.6
5000,20.833333333333336,59.414679467327346,7.239417647882965,5.711
6000,22.22222222222222,63.56457107463611,6.995538036557842,6.814
7000,23.41269841269841,66.84732115205946,6.782784278068287,7.926
8000,24.404761904761905,69.49519975224527,6.627137311645624,9.042
9000,24.900793650793652,71.04366676989781,6.484620656190901,10.144
10000,25.595238095238095,72.46825642613813,6.332320841162763,11.251
11000,25.892857142857146,73.73799938061319,6.181859760671765,12.357
12000,26.686507936507937,75.02322700526479,6.076318358834917,13.478
13000,26.58730158730159,76.0761845772685,6.056788036306339,14.575
14000,27.18253968253968,76.32393930009292,5.863392399503756,15.685
15000,27.77777777777778,76.94332610715392,5.727610121362786,16.783
16000,28.869047619047617,77.68659027562713,5.674838781969504,17.899
17000,28.670634920634917,78.16661505109941,5.5253339067169405,19.007
18000,29.166666666666668,78.70857850727779,5.47520501207146,20.123
19000,29.166666666666668,79.17311861257356,5.407075616233046,21.229
20000,29.365079365079367,79.60668937751626,5.331641171739792,22.335
21000,29.96031746031746,79.9318674512233,5.231579385248103,23.438
22000,30.555555555555557,80.41189222669557,5.117439876443396,24.546
23000,30.753968253968257,80.6131929389904,5.046004024527422,25.657
24000,30.952380952380953,80.95385568287395,5.041362477611067,26.762
25000,31.349206349206348,81.03127903375658,4.9272054178551405,27.872
26000,31.746031746031743,81.55775781975844,4.847037094098574,28.978
27000,31.646825396825395,81.80551254258285,4.807844205527854,30.089
28000,32.53968253968254,81.86745122328894,4.705537753323477,31.191
29000,32.73809523809524,82.22359863734903,4.690494197195312,32.301
30000,33.432539682539684,82.48683803034996,4.6106470353976965,33.403
31000,33.82936507936508,82.47135336017342,4.53071774642749,34.507
32000,33.82936507936508,82.7036234128213,4.493185419580306,35.614
33000,34.226190476190474,83.15267884794054,4.469473867687011,36.716
34000,33.82936507936508,83.01331681635182,4.355982563997361,37.822
35000,34.32539682539682,83.16816351811707,4.333680810400581,38.927
36000,34.523809523809526,83.50882626200062,4.275954523356477,40.031
37000,34.62301587301587,83.63270362341282,4.259960240885118,41.142
38000,34.62301587301587,83.75658098482502,4.196091860540201,42.256
39000,35.317460317460316,83.83400433570765,4.150306741876374,43.366
40000,35.21825396825397,83.95788169711984,4.106710470158722,44.479
41000,35.81349206349206,84.11272839888511,4.027315641751185,45.604
42000,35.81349206349206,84.20563641994426,4.029686324688335,46.715
43000,36.30952380952381,84.34499845153299,3.9576480260985956,47.823
44000,36.21031746031746,84.32951378135645,3.9044534107020636,48.931
45000,37.202380952380956,84.65469185506349,3.870819761114784,50.047
