
,,,
Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,3.848,0.16021602,9.533333
1000,18.275,0.0904467,9.964286
2000,32.714,0.0890039,15.328571
3000,47.149,0.087820336,22.030952
4000,61.593,0.08747508,21.285715
5000,76.191,0.086945444,24.050001
6000,90.541,0.08568407,25.188095
7000,104.893,0.083173424,31.792858
8000,119.267,0.08226814,29.507143
9000,133.648,0.08116698,33.140476
10000,148.037,0.08062439,29.97381
11000,162.424,0.07901267,34.933334
12000,176.779,0.07950928,30.926191
13000,191.119,0.079567544,31.842857
14000,205.486,0.0769261,39.35
15000,219.851,0.07628408,41.985714
16000,234.29,0.07428125,45.32143
17000,248.653,0.07329191,44.84762
18000,263.017,0.07208591,48.383335
19000,277.388,0.07120077,47.91905
20000,291.765,0.07068311,48.77381
21000,306.12,0.06959185,48.595238
22000,320.51,0.06895995,47.592857
23000,334.867,0.06904332,49.911903
24000,349.249,0.06773106,49.64762
25000,363.587,0.06762739,50.01905
26000,377.976,0.06750053,50.3881
27000,392.349,0.06606312,51.602383
28000,406.721,0.06565325,52.435715
29000,421.108,0.066072054,51.002384
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,7.5,0.17431536,9.861905
1000,26.546,0.08855187,21.988096
2000,45.56,0.086426966,27.028572
3000,64.629,0.083793215,30.242857
4000,83.67,0.07962823,44.62857
5000,102.735,0.07962166,41.719048
6000,121.848,0.07368928,52.269047
7000,140.917,0.071749166,54.071426
8000,159.924,0.0694197,54.238094
9000,178.974,0.06712666,56.02619
10000,197.989,0.06570166,57.133335
11000,217.044,0.06406926,57.528572
12000,236.09,0.06308767,57.976192
13000,255.129,0.061937604,58.335716
14000,274.145,0.061140306,59.19524
15000,293.251,0.060510974,60.05
16000,312.319,0.059701532,60.557144
17000,331.373,0.05852616,59.47381
18000,350.398,0.059985504,58.154762
19000,369.401,0.058302782,59.55476
20000,388.464,0.057716604,62.207146
21000,407.512,0.056851167,62.55952
22000,426.597,0.0570846,61.135715
23000,445.634,0.056129463,60.209526
24000,464.644,0.05587007,62.635715
25000,483.705,0.055986367,62.0119
26000,502.772,0.05495431,62.790478
27000,521.831,0.055064987,63.530952
28000,540.855,0.054632794,63.028572
29000,559.879,0.055855054,62.67857
,,,
Antal H lag: 1|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,11.166,0.11334075,11.157143
1000,34.841,0.08883195,17.440475
2000,58.564,0.08545171,29.42381
3000,82.303,0.08106217,33.70714
4000,106.008,0.077489145,44.180954
5000,129.736,0.073234595,48.67143
6000,153.432,0.06997021,55.771427
7000,177.249,0.06695141,58.954765
8000,200.958,0.06453766,62.88571
9000,224.684,0.062392745,62.364285
10000,248.393,0.06051442,66.192856
11000,272.127,0.05823612,67.98095
12000,295.866,0.05622482,69.690475
13000,319.671,0.054778606,68.82857
14000,343.441,0.053146157,70.97143
15000,367.235,0.052249257,70.80476
16000,391.02,0.05163879,70.79286
17000,414.746,0.050817993,71.14523
18000,438.489,0.049569227,72.311905
19000,462.263,0.04968569,71.76428
20000,486.083,0.047913093,73.6119
21000,509.838,0.047278803,73.71667
22000,533.608,0.047268815,73.811905
23000,557.452,0.047165997,72.41667
24000,581.237,0.04567617,74.44524
25000,605.136,0.045791585,74.17619
26000,629.071,0.04544803,75.17619
27000,652.857,0.04518944,74.071434
28000,676.689,0.044789214,74.33095
29000,700.564,0.044706006,74.87619
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,14.951,0.104536146,9.290476
1000,43.429,0.08639965,28.47857
2000,71.939,0.07988678,36.790474
3000,100.475,0.07456239,42.157143
4000,128.966,0.06891743,52.814285
5000,157.509,0.06505003,58.62857
6000,186.036,0.061922986,61.754765
7000,214.678,0.0586502,63.20714
8000,243.234,0.057272468,65.23096
9000,271.713,0.05515933,67.28571
10000,300.272,0.05357473,67.89285
11000,328.854,0.051572103,71.36428
12000,357.327,0.049979173,71.09762
13000,385.817,0.049670737,71.919044
14000,414.376,0.049132574,71.80476
15000,442.871,0.047612324,73.10714
16000,471.391,0.04739547,72.92143
17000,499.842,0.046545595,73.33572
18000,528.323,0.045241978,75.12619
19000,556.798,0.045135807,73.7119
20000,585.337,0.04441103,74.96429
21000,613.889,0.044017226,75.87857
22000,642.392,0.043813102,75.35239
23000,670.868,0.04259086,75.65238
24000,699.389,0.043542337,74.64285
25000,727.873,0.043024253,74.690475
26000,756.339,0.04225106,76.24762
27000,784.853,0.042094525,75.169044
28000,813.36,0.04171175,76.26428
29000,841.845,0.040566705,76.97143
,,,
Antal H lag: 2|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,3.959,0.20271999,9.971429
1000,18.462,0.09006525,10.557142
2000,32.965,0.0901626,9.838096
3000,47.461,0.08998385,12.25
4000,62.041,0.08985364,9.945238
5000,76.59,0.08959386,10.359524
6000,91.087,0.089139715,12.607142
7000,105.622,0.08830774,20.797619
8000,120.162,0.087467976,16.426191
9000,134.648,0.08646287,19.802382
10000,149.122,0.086088,17.211905
11000,163.612,0.08496588,20.814285
12000,178.107,0.08505095,21.12619
13000,192.646,0.084882386,20.22619
14000,207.117,0.084679216,20.914286
15000,221.662,0.08464289,21.264286
16000,236.288,0.08462693,21.407143
17000,250.897,0.08449237,21.288095
18000,265.542,0.08442931,20.683332
19000,280.064,0.08401292,21.035715
20000,294.592,0.084045015,19.24524
21000,309.119,0.0841558,24.290476
22000,323.63,0.08407495,21.37143
23000,338.108,0.08336094,21.380953
24000,352.601,0.08403467,24.87381
25000,367.08,0.08357949,22.104763
26000,381.584,0.08360818,24.085714
27000,396.077,0.08402059,19.061905
28000,410.585,0.08294354,21.571428
29000,425.107,0.08276764,24.692858
,,,
Antal H lag: 2|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,7.805,0.12871888,9.945238
1000,27.168,0.089619495,17.304762
2000,46.514,0.08876027,16.695238
3000,65.836,0.08642687,25.138096
4000,85.163,0.08173823,35.730953
5000,104.52,0.07844139,45.07143
6000,123.936,0.07451217,50.930954
7000,143.252,0.07157634,50.88095
8000,162.555,0.070470594,51.60476
9000,181.885,0.06878797,52.664288
10000,201.214,0.067382015,54.25714
11000,220.528,0.06550107,57.02381
12000,239.834,0.06451554,57.62143
13000,259.162,0.063280225,56.864285
14000,278.519,0.062016614,59.52619
15000,297.835,0.060037255,61.82143
16000,317.207,0.05977634,62.833332
17000,336.568,0.059611432,61.583336
18000,355.865,0.058746733,61.00714
19000,375.3,0.05731395,62.766666
20000,394.642,0.056518003,62.954758
21000,414.013,0.055841193,62.57619
22000,433.39,0.055202004,64.34762
23000,452.688,0.055011205,63.309525
24000,472.065,0.054090813,63.84762
25000,491.369,0.053428542,64.02619
26000,510.777,0.05255131,64.61428
27000,530.14,0.053014208,64.10476
28000,549.44,0.052918993,64.50952
29000,568.74,0.052141927,65.61905
,,,
Antal H lag: 2|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,11.528,0.15002267,10.359524
1000,35.692,0.0902341,12.640476
2000,59.906,0.08966258,16.004763
3000,84.083,0.08824424,19.769047
4000,108.297,0.08587726,24.780952
5000,132.501,0.08422339,33.07619
6000,156.72,0.082161106,30.640476
7000,180.997,0.08043315,33.807144
8000,205.562,0.07826417,37.840477
9000,229.789,0.07689454,41.70714
10000,253.965,0.07503295,42.438095
11000,278.218,0.072094284,49.45476
12000,302.572,0.06968484,49.585716
13000,327.01,0.06844613,47.659527
14000,351.373,0.06577269,50.07619
15000,375.525,0.06512178,53.05
16000,399.687,0.06381232,57.62857
17000,423.889,0.06279421,58.738094
18000,448.121,0.062204972,60.00714
19000,472.339,0.060292162,62.140476
20000,496.512,0.0604845,62.42143
21000,520.744,0.058779124,62.07143
22000,545.016,0.05754881,64.63571
23000,569.24,0.056947026,63.80238
24000,593.536,0.056175206,64.27381
25000,617.916,0.05549803,65.40238
26000,642.139,0.055893112,64.17381
27000,666.366,0.05348324,67.10476
28000,690.624,0.053004615,66.75476
29000,714.81,0.05151393,68.26905
,,,
Antal H lag: 2|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,15.416,0.14307182,9.695238
