,,,
Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.032,0.15485004,3.5714288
1000,2.588,0.09043862,13.214286
2000,5.117,0.08756941,18.928572
3000,7.723,0.08413807,28.57143
4000,10.366,0.07780635,48.92857
5000,12.944,0.073628575,51.428574
6000,15.505,0.068712935,56.07143
7000,18.079,0.06591904,65.71429
8000,20.653,0.063706435,56.07143
9000,23.214,0.061678607,61.071426
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.057,0.13227896,8.571429
1000,3.656,0.07706959,60.714287
2000,7.265,0.06730091,85
3000,10.884,0.06315817,84.64286
4000,14.504,0.059898376,88.92857
5000,18.107,0.057548944,86.07143
6000,21.716,0.05460273,88.57143
7000,25.333,0.052852668,89.28571
8000,28.932,0.050327346,90.35714
9000,32.532,0.049229745,89.64286
,,,
Antal H lag: 1|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.085,0.13175099,11.071428
1000,4.707,0.059861645,90
2000,9.347,0.05511799,92.85714
3000,13.992,0.052926224,92.85714
4000,18.621,0.050514646,93.21429
5000,23.26,0.048434816,95
6000,27.89,0.04693763,95
7000,32.511,0.045473237,95
8000,37.13,0.04401195,95
9000,41.746,0.0427678,95
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.111,0.15830131,12.142858
1000,5.783,0.053421427,87.14285
2000,11.47,0.046787497,92.5
3000,17.199,0.04365406,95
4000,22.881,0.042115975,95.35715
5000,28.566,0.040752336,97.14286
6000,34.24,0.039831746,96.42857
7000,39.913,0.03882776,97.14286
8000,45.601,0.038014803,97.85714
9000,51.274,0.03738921,97.5
,,,
Antal H lag: 2|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.032,0.19361782,10
1000,2.601,0.08954693,13.928572
2000,5.17,0.08723782,27.142859
3000,7.736,0.083992496,21.071428
4000,10.317,0.082124904,20.357141
5000,12.89,0.08146131,22.857143
6000,15.486,0.08066073,22.857143
7000,18.067,0.08012456,23.214285
8000,20.637,0.07925862,25
9000,23.219,0.07820693,28.928572
,,,
Antal H lag: 2|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.059,0.15497534,10
1000,3.734,0.088909544,21.428572
2000,7.4,0.085869014,28.928572
3000,11.058,0.08048838,51.785713
4000,14.728,0.07560669,43.928574
5000,18.41,0.070408784,70
6000,22.031,0.06747983,71.78571
7000,25.69,0.064722896,78.92857
8000,29.324,0.06253478,79.64285
9000,32.962,0.06037212,88.21429
,,,
Antal H lag: 2|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.089,0.134888,8.928572
1000,4.805,0.08602922,30.714285
2000,9.516,0.07760497,58.928574
3000,14.23,0.07245227,61.071426
4000,18.94,0.0675437,63.214283
5000,23.648,0.062057395,78.92857
6000,28.366,0.05841527,82.14286
7000,33.085,0.055817015,86.78571
8000,37.806,0.053540632,85
9000,42.521,0.051435094,90
,,,
Antal H lag: 2|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.115,0.107929826,14.285715
1000,5.927,0.080276325,32.5
2000,11.753,0.0708076,77.5
3000,17.568,0.066472024,79.64285
4000,23.379,0.062754296,85.71429
5000,29.222,0.06086171,80.71429
6000,35.038,0.05740307,85.71429
7000,40.858,0.054574754,88.92857
8000,46.677,0.052220892,89.64286
9000,52.507,0.05060286,91.42857
,,,
Antal H lag: 3|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.033,0.17849357,10
1000,2.614,0.090089075,10
2000,5.2,0.09014633,10
3000,7.794,0.090019494,10
4000,10.375,0.09005488,10
5000,12.962,0.089896716,11.071428
6000,15.539,0.089912646,10
7000,18.128,0.0896614,10
8000,20.713,0.0893491,10
9000,23.302,0.08871503,15.357142
,,,
Antal H lag: 3|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.062,0.18533453,10
1000,3.755,0.09004592,15.000001
2000,7.447,0.09005383,10
3000,11.139,0.08986907,10.714286
4000,14.825,0.08955553,18.214285
5000,18.517,0.08882669,24.285715
6000,22.21,0.08747326,22.142857
7000,25.9,0.084924154,20
8000,29.596,0.083081044,21.071428
9000,33.303,0.082240514,21.785713
,,,
Antal H lag: 3|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.09,0.116256125,10
1000,4.916,0.089959525,10
2000,9.752,0.089571774,10
3000,14.574,0.089005016,20.357141
4000,19.418,0.087736994,27.5
5000,24.447,0.08476749,36.07143
6000,29.289,0.07922874,46.42857
7000,34.124,0.0736729,56.07143
8000,38.975,0.06948257,55.714287
9000,43.807,0.0657997,60.35714
,,,
Antal H lag: 3|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.119,0.11733813,10
1000,6.154,0.08970435,10
2000,12.18,0.08778421,25.357141
3000,18.223,0.0835675,27.857143
4000,24.236,0.07934386,25.714287
5000,30.246,0.07637409,33.214287
6000,36.278,0.07205979,61.071426
7000,42.285,0.0679942,55.35714
8000,48.315,0.06453762,67.5
9000,54.355,0.062066652,63.928574
