,,,
Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.109,0.13699873,3.1746035
1000,3.035,0.028497292,5.7539682
2000,5.933,0.028430397,5.7539682
3000,8.832,0.02864398,5.654762
4000,11.756,0.028567178,5.8531747
5000,14.681,0.028626665,6.349207
6000,17.584,0.028565792,5.654762
7000,20.49,0.028674155,8.730159
8000,23.438,0.028661825,8.43254
9000,26.363,0.028131215,11.011905
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.204,0.13522914,0.8928572
1000,4.286,0.028730953,8.035714
2000,8.445,0.02905157,13.095239
3000,12.525,0.028603053,15.178572
4000,16.582,0.028443227,20.238096
5000,20.69,0.027731415,23.809525
6000,24.787,0.027466988,24.107143
7000,28.833,0.026945535,26.190477
8000,32.92,0.026876349,26.984129
9000,37.033,0.02662728,26.488096
,,,
Antal H lag: 1|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.297,0.15383549,2.2817461
1000,5.545,0.028617885,11.111112
2000,10.753,0.02767354,20.93254
3000,15.996,0.027071873,22.519842
4000,21.239,0.0271015,24.107143
5000,26.459,0.026077883,25.892857
6000,31.694,0.02564173,26.488096
7000,36.902,0.025787117,26.587301
8000,42.095,0.025373591,26.785713
9000,47.326,0.025638837,27.18254
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.397,0.11263002,2.777778
1000,6.789,0.02809956,15.873016
2000,13.192,0.027126016,25.099205
3000,19.589,0.02687662,26.190477
4000,26.037,0.025904331,27.380953
5000,32.468,0.025270434,27.480158
6000,38.936,0.025139049,27.480158
7000,45.324,0.02491743,27.777779
8000,51.714,0.025117448,27.67857
9000,58.107,0.025170255,27.777779
,,,
Antal H lag: 2|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.111,0.16020666,2.777778
1000,3.067,0.028423253,2.777778
2000,6.035,0.02847494,2.777778
3000,9.011,0.028333541,2.777778
4000,11.943,0.028307445,2.777778
5000,14.893,0.028443417,2.777778
6000,17.826,0.028513962,5.15873
7000,20.785,0.028706605,2.777778
8000,23.725,0.028368812,3.968254
9000,26.661,0.028444858,2.4801588
,,,
Antal H lag: 2|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.212,0.11058012,0.9920635
1000,4.373,0.028515067,2.777778
2000,8.626,0.028215555,2.777778
3000,12.782,0.028209433,5.555556
4000,16.96,0.028193362,5.654762
5000,21.115,0.028213501,9.722222
6000,25.327,0.028199673,8.730159
7000,29.535,0.027938336,12.400793
8000,33.677,0.027634842,17.956348
9000,37.879,0.027552905,16.765873
,,,
Antal H lag: 2|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.307,0.07755882,3.1746035
1000,5.651,0.028298594,2.777778
2000,11.006,0.028251668,5.4563494
3000,16.387,0.028184254,9.027778
4000,21.783,0.027753016,13.492064
5000,27.119,0.027452681,17.65873
6000,32.426,0.027348045,20.337301
7000,37.815,0.027132154,19.34524
8000,43.192,0.026573095,21.825397
9000,48.549,0.026300592,21.329365
,,,
Antal H lag: 2|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.404,0.06857676,2.9761906
1000,6.977,0.028190194,7.8373013
2000,13.585,0.027779672,12.896826
3000,20.177,0.027128734,20.833332
4000,26.746,0.02685939,24.305555
5000,33.325,0.026227048,26.686508
6000,39.893,0.026092587,27.18254
7000,46.444,0.02571535,27.579365
8000,53.032,0.025388319,27.18254
9000,59.621,0.025053935,27.579365
,,,
Antal H lag: 3|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.112,0.15533663,2.777778
1000,3.096,0.028208904,2.777778
2000,6.064,0.02827712,2.777778
3000,9.042,0.028341912,2.777778
4000,12.042,0.02820965,2.777778
5000,15.044,0.028333964,2.777778
6000,18.042,0.028432589,2.777778
7000,21.017,0.028365664,2.777778
8000,23.994,0.02842073,2.3809524
9000,26.954,0.028262181,2.777778
,,,
Antal H lag: 3|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.22,0.1275444,2.777778
1000,4.467,0.028349612,2.777778
2000,8.663,0.028155193,2.777778
3000,12.917,0.028398424,4.166667
4000,17.128,0.028395563,2.777778
5000,21.325,0.028381484,2.777778
6000,25.537,0.028255502,2.777778
7000,29.805,0.028264578,2.777778
8000,34.033,0.02829575,4.265873
9000,38.265,0.02819658,2.777778
,,,
Antal H lag: 3|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.319,0.0794841,2.777778
1000,5.802,0.028062543,2.777778
2000,11.331,0.028836709,2.777778
3000,16.867,0.028264184,2.777778
4000,22.389,0.02834056,2.777778
5000,27.898,0.028103651,4.0674605
6000,33.426,0.02790866,8.333334
7000,38.934,0.028353333,6.845238
8000,44.455,0.028131602,8.928572
9000,49.987,0.028072376,13.492064
,,,
Antal H lag: 3|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.424,0.07378915,2.777778
1000,7.31,0.028317044,2.8769841
2000,14.208,0.028085425,2.777778
3000,21.069,0.028312435,3.8690476
4000,27.957,0.028114336,4.861111
5000,34.865,0.027758146,9.623015
6000,41.724,0.027506946,16.071428
7000,48.594,0.027977116,14.68254
8000,55.459,0.027352732,17.65873
9000,62.31,0.027010756,21.031746
