Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.111,0.17742476,1.686508
1000,3.058,0.028527847,3.2738097
2000,6.047,0.028385542,6.051587
3000,9.01,0.028548863,5.654762
4000,11.946,0.028469758,8.730159
5000,14.897,0.028266924,10.119048
6000,17.847,0.028134363,11.607142
7000,20.859,0.028017545,12.599206
8000,23.813,0.028097078,12.5
9000,26.766,0.028855467,12.103174
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.204,0.10005791,4.166667
1000,4.989,0.028278267,4.3650794
2000,9.163,0.027818331,15.972222
3000,13.282,0.027511325,18.15476
4000,17.416,0.026758958,24.50397
5000,21.53,0.026498992,26.091269
6000,25.649,0.02629045,26.686508
7000,29.755,0.026001299,26.587301
8000,33.867,0.025994832,27.18254
9000,37.961,0.02558535,27.18254
,,,
Antal H lag: 1|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.299,0.09688571,3.8690476
1000,5.651,0.02882728,5.952381
2000,10.93,0.0286214,9.3253975
3000,16.247,0.028496284,11.805555
4000,21.563,0.027441563,20.337301
5000,26.901,0.026829464,24.900795
6000,32.196,0.02616697,26.587301
7000,37.465,0.025822649,26.686508
8000,42.757,0.02530876,27.083334
9000,48.072,0.025886802,27.083334
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.402,0.07849359,2.777778
1000,6.895,0.028660342,9.722222
2000,13.357,0.02743935,18.948414
3000,19.836,0.026559103,26.289684
4000,26.355,0.026341219,27.083334
5000,32.835,0.025583597,27.083334
6000,39.342,0.025633883,27.480158
7000,45.845,0.025386307,27.579365
8000,52.309,0.024850778,27.579365
9000,58.881,0.025019512,27.777779
,,,
Antal H lag: 2|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.115,0.17185403,2.9761906
1000,3.096,0.028573364,2.777778
2000,6.075,0.028359048,2.777778
3000,9.048,0.028308438,2.777778
4000,12.012,0.028383737,2.777778
5000,14.98,0.028325653,5.7539682
6000,17.962,0.028277835,3.0753968
7000,20.947,0.028286548,4.7619047
8000,23.912,0.028149942,6.6468253
9000,26.857,0.028335726,5.952381
,,,
Antal H lag: 2|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.21,0.11634358,2.777778
1000,4.396,0.028211689,2.777778
2000,8.61,0.028478296,2.777778
3000,12.852,0.028125988,4.464286
4000,17.011,0.028097954,5.555556
5000,21.168,0.028017761,6.25
6000,25.333,0.028223347,7.936508
7000,29.522,0.028257817,9.027778
8000,33.699,0.027964486,12.301587
9000,37.867,0.027913384,13.59127
,,,
Antal H lag: 2|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.305,0.093699604,4.0674605
1000,5.684,0.028389292,2.777778
2000,11.119,0.028391711,2.777778
3000,16.529,0.027694777,14.68254
4000,21.882,0.027416872,22.123016
5000,27.252,0.026910514,23.412699
6000,32.624,0.026790379,25.992064
7000,37.977,0.026624212,25.59524
8000,43.345,0.026410311,26.587301
9000,48.708,0.0265165,26.686508
,,,
Antal H lag: 2|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.415,0.09929902,2.777778
1000,7.047,0.029006835,2.777778
2000,13.753,0.027838139,10.218254
3000,20.465,0.027377535,13.789682
4000,27.052,0.026895124,19.34524
5000,33.622,0.026368815,25.793652
6000,40.2,0.02584182,27.18254
7000,46.937,0.025363015,27.480158
8000,53.514,0.02512238,27.579365
9000,60.102,0.024844697,27.380953
,,,
Antal H lag: 3|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.114,0.14053144,2.777778
1000,3.091,0.028410232,2.777778
2000,6.058,0.028569289,2.777778
3000,9.027,0.028416958,2.777778
4000,11.999,0.028453384,2.777778
5000,14.952,0.028295798,2.777778
6000,17.928,0.028365264,2.6785715
7000,20.887,0.028647568,2.777778
8000,23.859,0.028413363,2.777778
9000,26.821,0.028193032,2.777778
,,,
Antal H lag: 3|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.214,0.13606402,2.777778
1000,4.402,0.028761126,4.5634923
2000,8.613,0.028664775,2.777778
3000,12.812,0.028288623,2.777778
4000,17.01,0.028129239,2.777778
5000,21.202,0.028355481,2.777778
6000,25.474,0.02841167,2.777778
7000,29.678,0.028290682,2.777778
8000,33.966,0.028434405,2.777778
9000,38.209,0.02833887,4.861111
,,,
Antal H lag: 3|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.316,0.09302593,2.777778
1000,5.824,0.028279891,2.777778
2000,11.316,0.028569784,2.777778
3000,16.82,0.028259166,2.777778
4000,22.339,0.028144084,4.3650794
5000,27.861,0.02827406,5.555556
6000,33.428,0.028648717,5.15873
7000,38.985,0.028071389,10.515873
8000,44.489,0.027927876,12.896826
9000,49.987,0.027880386,14.781746
,,,
Antal H lag: 3|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.417,0.073594764,2.777778
1000,7.316,0.028406007,2.777778
2000,14.102,0.028345596,2.777778
3000,20.903,0.028015874,2.9761906
4000,27.83,0.028109036,7.8373013
5000,34.618,0.027972598,9.027778
6000,41.428,0.02824629,10.615079
7000,48.225,0.027955007,15.277778
8000,55.003,0.027575443,21.230158
9000,61.807,0.027268227,20.63492
