Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Accuracy,Err,Time
0,1.884920635,0.027881903,0.11
1000,7.043650794,0.028005753,6.008
2000,12.20238095,0.027557681,11.909
3000,10.71428571,0.02746851,17.822
4000,12.59920635,0.027240809,23.745
5000,13.69047619,0.027129005,29.659
6000,15.57539683,0.027000053,35.558
7000,14.38492063,0.027088079,41.468
8000,15.37698413,0.02707512,47.37
9000,16.76587302,0.026986186,53.278
10000,17.65873016,0.027004747,59.178
11000,17.06349206,0.026901882,65.079
12000,18.65079365,0.026776275,70.984
13000,19.54365079,0.026695654,76.882
14000,20.23809524,0.026913005,82.783
15000,21.52777778,0.026704331,88.686
16000,20.33730159,0.026753608,94.604
17000,22.51984127,0.026670112,100.507
18000,21.72619048,0.026383693,106.405
19000,22.81746032,0.026607018,112.305
20000,22.42063492,0.026522538,118.218
21000,22.61904762,0.026562012,124.126
22000,22.61904762,0.02662541,130.025
23000,23.71031746,0.026723449,135.926
24000,23.90873016,0.026713803,141.826
25000,23.80952381,0.026634336,147.735
26000,24.10714286,0.026745054,153.637
27000,24.30555556,0.026811626,159.556
28000,23.01587302,0.026728519,165.455
29000,23.71031746,0.026687271,171.376
30000,24.00793651,0.026694842,177.275
31000,23.80952381,0.026546425,183.174
32000,23.90873016,0.026640024,189.08
33000,24.00793651,0.026528932,194.977
34000,24.30555556,0.026373296,200.876
35000,24.8015873,0.026122043,206.774
36000,24.00793651,0.026091952,212.681
37000,25,0.025825657,218.579
38000,25.89285714,0.025841779,224.48
39000,25.09920635,0.026276332,230.38
40000,25.3968254,0.026120145,236.276
41000,25.3968254,0.025936327,242.195
42000,25.1984127,0.025509575,248.1
43000,26.58730159,0.02571027,254.02
44000,26.28968254,0.025534551,259.946
45000,26.88492063,0.025818701,265.849
46000,26.88492063,0.025393654,271.764
47000,27.38095238,0.025164214,277.666
48000,27.77777778,0.025045492,283.566
49000,27.28174603,0.025313389,289.458
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Accuracy,Err,Time
0,4.166666667,0.032153126,0.205
1000,16.07142857,0.028865923,9.609
2000,19.74206349,0.027990971,18.998
3000,20.23809524,0.027148206,28.382
4000,23.11507937,0.026379572,37.771
5000,25,0.025775475,47.146
6000,26.09126984,0.025531664,56.525
7000,26.78571429,0.025112965,65.911
8000,27.28174603,0.024813969,75.314
9000,28.17460317,0.024709519,84.715
10000,28.57142857,0.02459915,94.108
11000,29.96031746,0.024056425,103.505
12000,29.36507937,0.024045236,112.962
13000,29.36507937,0.024103784,122.339
14000,30.95238095,0.023821359,131.749
15000,30.75396825,0.023758189,141.221
