Sigmoid tal,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,1.19047619,0.387116754,12.512557,0.202
1000,49.4047619,85.5682874,3.970690267,0.522
2000,58.73015873,89.85754103,2.682629091,0.84
3000,64.98015873,91.06534531,2.218326481,1.159
4000,74.50396825,93.46546919,1.572496324,1.477
5000,75.69444444,93.94549396,1.465787519,1.798
6000,75.79365079,94.02291731,1.466643688,2.117
7000,79.66269841,94.96748219,1.149303401,2.436
8000,81.94444444,95.37008362,1.153619495,2.753
9000,82.24206349,95.50944565,0.991919934,3.072
10000,82.63888889,95.7417157,1.009936898,3.393
11000,83.33333333,95.78816971,1.027550505,3.711
12000,86.30952381,96.28367916,0.845084286,4.029
13000,86.50793651,96.39207185,0.837202834,4.346
14000,86.80555556,96.51594921,0.823609539,4.662
15000,87.20238095,96.65531124,0.836294325,4.981
16000,87.8968254,96.7791886,0.814376752,5.3
17000,89.08730159,96.93403531,0.75635723,5.617
18000,88.59126984,96.94951998,0.78799491,5.936
19000,89.18650794,96.91855063,0.699385051,6.256
20000,90.47619048,97.22824404,0.693253984,6.574
21000,89.38492063,97.1972747,0.677803569,6.892
22000,89.08730159,97.18179003,0.696310896,7.209
23000,89.68253968,97.21275937,0.699004851,7.546
24000,89.38492063,97.18179003,0.708248442,7.866
25000,90.67460317,97.38309074,0.627083129,8.187
26000,90.07936508,97.44502942,0.695972043,8.505
27000,90.67460317,97.38309074,0.662187626,8.823
28000,91.07142857,97.63084546,0.609327436,9.142
29000,90.77380952,97.53793744,0.62483201,9.46
30000,90.77380952,97.61536079,0.595807003,9.78
31000,92.16269841,97.75472282,0.561461749,10.103
32000,91.76587302,97.81666151,0.612247602,10.423
33000,92.26190476,97.80117683,0.59223016,10.744
34000,91.66666667,97.77020749,0.585554725,11.062
35000,91.86507937,97.73923815,0.578037052,11.381
36000,91.76587302,97.86311552,0.566796919,11.699
37000,91.86507937,97.73923815,0.509365565,12.017
38000,92.06349206,97.83214618,0.490186271,12.337
39000,92.36111111,97.90956953,0.516503537,12.658
40000,91.86507937,97.87860019,0.541060072,12.976
41000,91.66666667,97.84763085,0.530387309,13.293
42000,92.16269841,98.01796222,0.542298754,13.614
43000,91.86507937,97.9250542,0.530079682,13.931
44000,91.66666667,97.86311552,0.491713261,14.25
45000,91.86507937,97.94053887,0.521496187,14.567
46000,92.95634921,98.12635491,0.479689876,14.885
47000,93.05555556,98.00247755,0.490674685,15.204
48000,92.46031746,97.97150821,0.514482992,15.521
49000,92.65873016,98.04893156,0.460348534,15.839
