Sigmoid tal,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,3.214285714,5.130890052,11.56080297,0.157
1000,98.21428571,96.2478185,0.143820069,0.415
2000,98.57142857,96.38743455,0.137620816,0.674
3000,98.57142857,96.56195462,0.125962012,0.932
4000,98.92857143,96.59685864,0.118579407,1.191
5000,98.57142857,96.7539267,0.114546163,1.449
6000,98.57142857,96.85863874,0.1126921,1.707
7000,98.92857143,96.92844677,0.10794539,1.965
8000,99.28571429,96.87609075,0.106458544,2.223
9000,99.28571429,96.91099476,0.104349132,2.48
10000,99.28571429,96.9982548,0.101532704,2.738
11000,99.28571429,97.05061082,0.100114594,2.997
12000,99.28571429,97.05061082,0.10069898,3.255
13000,99.28571429,97.08551483,0.101006981,3.514
14000,99.28571429,97.12041885,0.100186357,3.774
15000,99.28571429,97.13787086,0.098530201,4.033
16000,99.28571429,97.15532286,0.097381995,4.291
17000,99.64285714,97.13787086,0.095710082,4.549
18000,99.64285714,97.17277487,0.094392167,4.807
19000,99.64285714,97.20767888,0.093989817,5.066
20000,99.64285714,97.19022688,0.092713477,5.323
21000,99.64285714,97.19022688,0.091918054,5.581
22000,99.64285714,97.2425829,0.091545293,5.839
23000,99.64285714,97.2600349,0.090205102,6.098
24000,99.64285714,97.2600349,0.0899593,6.356
25000,99.64285714,97.2600349,0.089808305,6.615
26000,99.64285714,97.29493892,0.089122283,6.873
27000,99.64285714,97.27748691,0.087862106,7.131
28000,99.64285714,97.2600349,0.087517938,7.389
29000,99.64285714,97.31239092,0.087771313,7.648
30000,99.64285714,97.29493892,0.087364911,7.907
31000,99.64285714,97.2600349,0.08684749,8.165
32000,100,97.2600349,0.0856854,8.423
33000,100,97.2600349,0.0856854,8.681
34000,100,97.2600349,0.0856854,8.939
35000,100,97.2600349,0.0856854,9.199
36000,100,97.2600349,0.0856854,9.456
37000,100,97.2600349,0.0856854,9.715
38000,100,97.2600349,0.0856854,9.974
39000,100,97.2600349,0.0856854,10.233
40000,100,97.2600349,0.0856854,10.491
41000,100,97.2600349,0.0856854,10.749
42000,100,97.2600349,0.0856854,11.007
43000,100,97.2600349,0.0856854,11.267
44000,100,97.2600349,0.0856854,11.524
45000,100,97.2600349,0.0856854,11.782
46000,100,97.2600349,0.0856854,12.041
47000,100,97.2600349,0.0856854,12.299
48000,100,97.2600349,0.0856854,12.558
49000,100,97.2600349,0.0856854,12.818
