Sigmoid tal,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,2.182539683,3.127903376,5.26385461,0.204
1000,25.79365079,74.43480954,4.927342033,0.527
2000,27.97619048,83.26107154,4.489789414,0.848
3000,29.06746032,85.08826262,4.311998391,1.172
4000,29.36507937,85.80055745,4.118917243,1.494
5000,29.76190476,86.1876742,3.945906697,1.816
6000,32.34126984,87.13223908,3.661660806,2.138
7000,33.63095238,87.37999381,3.43730502,2.459
8000,34.82142857,87.89098792,3.282181554,2.783
9000,36.60714286,88.12325797,3.13771119,3.104
10000,37.6984127,88.49489006,3.113834895,3.426
11000,39.38492063,88.92846082,3.023032904,3.748
12000,41.17063492,89.37751626,2.889944504,4.071
13000,44.44444444,89.74914834,2.758388704,4.394
14000,48.01587302,90.52338185,2.605770798,4.716
15000,52.48015873,91.14276866,2.592545785,5.039
16000,56.15079365,91.82409415,2.492116443,5.361
17000,57.14285714,92.02539486,2.428733493,5.683
18000,55.05952381,91.73118613,2.384557988,6.006
19000,58.43253968,92.33508826,2.244789902,6.329
20000,58.23412698,92.30411892,2.250573417,6.651
21000,58.33333333,92.31960359,2.211710999,6.973
22000,60.41666667,92.629297,2.144883676,7.295
23000,62.6984127,93.06286776,2.084647817,7.618
24000,65.77380952,93.52740787,2.026227987,7.941
25000,66.07142857,93.65128523,1.985845587,8.264
26000,66.76587302,93.72870858,1.98791289,8.586
27000,67.06349206,93.8216166,1.958153218,8.909
28000,67.65873016,93.91452462,1.934182895,9.232
29000,69.54365079,94.25518736,1.869176992,9.553
30000,69.74206349,94.2861567,1.891281391,9.876
31000,70.63492063,94.47197275,1.818419693,10.198
32000,73.31349206,94.82812016,1.782771111,10.52
33000,72.51984127,94.78166615,1.766276361,10.842
34000,73.11507937,94.79715082,1.744387271,11.164
35000,73.80952381,94.93651285,1.708474735,11.487
36000,74.90079365,95.10684422,1.700734546,11.809
37000,74.50396825,95.07587488,1.693653865,12.131
38000,74.20634921,94.99845153,1.666955071,12.454
39000,76.58730159,95.38556829,1.607362957,12.777
40000,77.28174603,95.46299164,1.586120401,13.099
41000,75.69444444,95.26169093,1.5889648,13.422
42000,77.08333333,95.61783834,1.56324191,13.743
43000,77.57936508,95.61783834,1.558383039,14.066
44000,77.77777778,95.66429235,1.540677568,14.388
45000,78.57142857,95.80365438,1.52569014,14.71
46000,79.26587302,95.83462372,1.516907209,15.033
47000,79.76190476,96.00495509,1.504171052,15.356
48000,81.15079365,96.20625581,1.467859466,15.679
49000,80.45634921,96.11334779,1.480902757,16.001
