Sigmoid tal,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,9.285714286,9.581151832,0.277656795,0.157
1000,53.57142857,50.78534031,0.071459798,0.43
2000,69.28571429,67.20767888,0.062126783,0.702
3000,76.07142857,74.45026178,0.056607698,0.973
4000,83.21428571,79.89528796,0.052364803,1.245
5000,86.42857143,84.01396161,0.04959169,1.516
6000,87.85714286,86.0034904,0.047506127,1.788
7000,89.28571429,88.08027923,0.045672419,2.06
8000,88.92857143,88.84816754,0.044145241,2.332
9000,91.78571429,90.03490401,0.042499532,2.604
10000,93.21428571,90.87260035,0.041421214,2.875
11000,92.85714286,91.36125654,0.040530667,3.147
12000,93.92857143,91.90226876,0.039626219,3.418
13000,95,92.40837696,0.038871527,3.689
14000,95.71428571,92.70506108,0.03828815,3.96
15000,95.71428571,92.82722513,0.037769319,4.236
16000,95.71428571,92.77486911,0.037244073,4.507
17000,95.71428571,92.98429319,0.03677743,4.779
18000,96.42857143,93.17626527,0.03628611,5.05
19000,96.42857143,93.33333333,0.035903356,5.321
20000,96.42857143,93.38568935,0.035531873,5.592
21000,96.42857143,93.43804538,0.035149971,5.863
22000,96.42857143,93.63001745,0.034797476,6.135
23000,96.42857143,93.64746946,0.034426545,6.406
24000,96.78571429,93.76963351,0.034053795,6.678
25000,96.78571429,93.90924956,0.033729929,6.95
26000,96.78571429,94.01396161,0.033413712,7.223
27000,96.78571429,94.06631763,0.033117523,7.493
28000,96.78571429,94.13612565,0.032795852,7.765
29000,96.78571429,94.08376963,0.032499033,8.037
30000,96.78571429,94.17102967,0.032205585,8.308
31000,96.78571429,94.2582897,0.031921241,8.58
32000,96.78571429,94.34554974,0.031625677,8.851
33000,96.78571429,94.27574171,0.031346259,9.13
34000,96.78571429,94.36300175,0.031044486,9.403
35000,96.78571429,94.36300175,0.030801913,9.675
36000,96.42857143,94.53752182,0.030521353,9.947
37000,96.78571429,94.67713787,0.030219251,10.219
38000,96.78571429,94.71204188,0.029919359,10.489
39000,97.14285714,94.7469459,0.029647435,10.76
40000,97.5,94.71204188,0.029398076,11.031
41000,97.85714286,94.81675393,0.029187543,11.303
42000,97.85714286,94.76439791,0.02902363,11.575
43000,97.5,94.85165794,0.028846123,11.845
44000,97.14285714,94.83420593,0.028651957,12.118
45000,97.14285714,94.81675393,0.028438841,12.392
46000,97.14285714,94.90401396,0.028224463,12.664
47000,97.85714286,94.92146597,0.028019412,12.937
48000,97.85714286,94.93891798,0.027864295,13.208
49000,97.85714286,94.991274,0.027706717,13.479
